BARRIO,SITIO
URB. POBLADO CAMPESTRE (23-S-6-3),CASAS DE HABITACION
CGTO EL LAURO (23-1),BOMBA DE GASOLINA
CORREGIMIENTO DE GUABITAS,VIAS PUBLICAS
EL DEPARTAMENTAL,DENTRO DE LA VIVIENDA
RECREO,VIAS PUBLICAS
CINCUENTENARIO,VIAS PUBLICAS
URBANIZACION BUENOS AIRES,VIAS PUBLICAS
URBANIZACION BUENOS AIRES,VIAS PUBLICAS
NUEVO FARFAN,DENTRO DE LA VIVIENDA
NUEVO FATIMA,VIAS PUBLICAS
ARROYOHONDO ZONA INDUSTRIAL (25-2),PARQUEADERO
BELALCAZAR E25,VIAS PUBLICAS
SAN PEDRO,VIAS PUBLICAS
VDA. TABLAZO HATILLO,VIAS PUBLICAS
EL CONGOLO,VIAS PUBLICAS
ACEVEDO,VIAS PUBLICAS
CIUDADELA DEL NORTE,VIAS PUBLICAS
PRIMAVERA,VIAS PUBLICAS
EL DORADO,VIAS PUBLICAS
VDA. SIERRA MORENA,VIAS PUBLICAS
BELLAVISTA,CASAS DE HABITACION
SURAMERICANA C-11,PARQUEADERO
ESTACION VILLA C-10,VIAS PUBLICAS
PARQUE NORTE C-4,PARQUES
CASTILLA C-5,VIAS PUBLICAS
EL CHAGUALO C-10,VIAS PUBLICAS
LA FLORIDA C-14,RESTAURANTES
PALENQUE 1 C-7,VIAS PUBLICAS
BARRIO CAYCEDO C-9,VIAS PUBLICAS
BELLO HORIZONTE C-7,VIAS PUBLICAS
BOMBONA 1 C-10,VIAS PUBLICAS
CARIBE C-5,TERMINAL DE TRANSPORTES
EL RINCON C-16,VIAS PUBLICAS
SEVILLA  C-4,VIAS PUBLICAS
GUAYABAL C-15,VIAS PUBLICAS
GRANADA C-16,VIAS PUBLICAS
VILLANUEVA C-10,VIAS PUBLICAS
SANTA CRUZ  C-2,VIAS PUBLICAS
ESTACION VILLA C-10,VIAS PUBLICAS
CATALUNHA  C-9,VIAS PUBLICAS
SEVILLA  C-4,VIAS PUBLICAS
CARIBE C-5,TERMINAL DE TRANSPORTES
EL CHAGUALO C-10,VIAS PUBLICAS
CARIBE,"DROGUERIAS, FARMACIAS"
SECTOR GALERIA,SUPERMERCADOS
EL CARMEN,VIAS PUBLICAS
BELLA ARENA,VIAS PUBLICAS
SANTA CRUZ,VIAS PUBLICAS
LA ARBOLEDA,VIAS PUBLICAS
LA CRUZ,VIAS PUBLICAS
VDA. TENERIA,INTERIOR VEHICULO SERVICIO PUBLICO
BARRIO LOS SAUCES,VIAS PUBLICAS
BARRIO POPULAR,VIAS PUBLICAS
CENTRO,ZONAS AZULES - VIA PUBLICA
CRISTO REY,APARTAMENTO
CRISTO REY,APARTAMENTO
LA ESTRELLA,INTERIOR VEHICULO PARTICULAR
URAPANES,VIAS PUBLICAS
LA AMAZONIA,CANCHA DE FUTBOL
JORGE ELIECER GAITAN,VIAS PUBLICAS
VIA PALESTRO,RIOS
RAIZAL,RIOS
ESPERANZA,VIAS PUBLICAS
LA ESPERANZA,VIAS PUBLICAS
MAREIGUA,VIAS PUBLICAS
LAS FLORES,VIAS PUBLICAS
LAS FLORES,VIAS PUBLICAS
EL JARDIN,VIAS PUBLICAS
LA FLORESTA,VIAS PUBLICAS
VENECIA E-6,ALMACENES
SUCRE E-2,VIAS PUBLICAS
EL POA E-11,TRANSPORTE PUBLICO
LA CATEDRAL E-3,SOBRE ANDEN - VIA PUBLICA
SANTA FE E-14,VIAS PUBLICAS
SAN ISIDRO E-4,VIAS PUBLICAS
LA MACARENA E-3,TRANSPORTE PUBLICO
SUBA CENTRO E-11,PARQUES
CHICO NAVARRA E-1,OFICINAS
SUBA CENTRO E-11,VIAS PUBLICAS
LA PAZ E-3,VIAS PUBLICAS
SANTA ISABEL E-14,VIAS PUBLICAS
SUBA CENTRO E-11,VIAS PUBLICAS
ALTO PRADO,VIAS PUBLICAS
COLOMBIALIBRE,VIAS PUBLICAS
EL CENTRO,FRENTE A RESIDENCIAS - VIA PUBLICA
BARRIO DIVINO NINHO,VIAS PUBLICAS
VEREDA CLAROS,PISCINA
EL VERGEL,VIAS PUBLICAS
LOS DUJOS,VIAS PUBLICAS
ENRIQUE OLAYA HERRERA,VIAS PUBLICAS
REPOSO,INTERIOR VEHICULO SERVICIO PUBLICO
ALCAZARES,VIAS PUBLICAS
CENTRO HISTORICO,CASAS DE HABITACION
RODADERO SUR,VIAS PUBLICAS
CENTRO,VIAS PUBLICAS
ESTERO,VIAS PUBLICAS
INDUSTRIAL,VIAS PUBLICAS
SAN BENITO,VIAS PUBLICAS
BELLO HORIZONTE,VIAS PUBLICAS
BENJAMIN HERRERA,VIAS PUBLICAS
RECUERDO,VIAS PUBLICAS
CANTARANA,VIAS PUBLICAS
POTRERILLO,VIAS PUBLICAS
POTRERILLO,VIAS PUBLICAS
NUEVO SOL,FRENTE A RESIDENCIAS - VIA PUBLICA
CENTRO,VIAS PUBLICAS
CHAPAL,VIAS PUBLICAS
CAICEDO ALTO,VIAS PUBLICAS
AV. ESTUDIANTES,VIAS PUBLICAS
CHILE,VIAS PUBLICAS
CENTRO,VIAS PUBLICAS
POTRERILLO,VIAS PUBLICAS
MADRIGAL,VIAS PUBLICAS
NIZA II,VIAS PUBLICAS
CENTRO,FRENTE A RESIDENCIAS - VIA PUBLICA
CENTRO,VIAS PUBLICAS
AV. CHAMPAGNAT,FRENTE A COLEGIO - VIA PUBLICA
BARRIO PRADOS DEL ESTE,RESTAURANTES
BARRIO EL BOSQUE,VIAS PUBLICAS
SECTOR CAM,VIAS PUBLICAS
VERACRUZ,VIAS PUBLICAS
SECTOR COLISEO DEL CAFE,VIAS PUBLICAS
MIRAFLORES BAJO,VIAS PUBLICAS
CIUDADELA EL ENSUENHO,VIAS PUBLICAS
CIUDADELA EL ENSUENHO,VIAS PUBLICAS
B. CENTRO,"BARES, CANTINAS Y SIMILARES"
B. CENTRO,"BARES, CANTINAS Y SIMILARES"
B. CENTRO,"BARES, CANTINAS Y SIMILARES"
SECTOR LA POPA,VIAS PUBLICAS
LA AURORA,VIAS PUBLICAS
LA AURORA,VIAS PUBLICAS
PLAZA CIVICA CIUDAD VICTORIA,VIAS PUBLICAS
SECTOR PLAZA DE BOLIVAR,VIAS PUBLICAS
SECTOR AVENIDA DEL RIO,VIAS PUBLICAS
LAS GARZAS,VIAS PUBLICAS
LA ESPERANZA,VIAS PUBLICAS
GARCIA ROVIRA,FRENTE CENTRO COMERCIAL
CABECERA DEL LLANO,VIAS PUBLICAS
REGADERO NORTE,VIAS PUBLICAS
TRANSICION V,VIAS PUBLICAS
DIAMANTE II,VIAS PUBLICAS
VILLA ROSA,VIAS PUBLICAS
PIO XII,VIAS PUBLICAS
EL BOSQUE,INTERIOR VEHICULO SERVICIO PUBLICO
PANORAMA,VIAS PUBLICAS
VIA PIEDRAS,RIOS
CENTRO,VIAS PUBLICAS
VRDA. DINDALITO,FINCAS Y SIMILARES
EL GRAN LIMONAR E17,VIAS PUBLICAS
NORMANDIA E2,SEMAFORO
ALFONSO B. ARAGON E14,VIAS PUBLICAS
MARIANO RAMOS E16,VIAS PUBLICAS
EL RETIRO E15,VIAS PUBLICAS
SANTA ROSA E3,VIAS PUBLICAS
SANTA TERESITA E2,VIAS PUBLICAS
SAN PEDRO E3,VIAS PUBLICAS
VALLADO E15,VIAS PUBLICAS
SIETE DE AGOSTO E7,VIAS PUBLICAS
JORGE ISAACS E4,VIAS PUBLICAS
JORGE ISAACS E4,VIAS PUBLICAS
SILOE E20,VIAS PUBLICAS
MARROQUIN I E14,VIAS PUBLICAS
CALLEJON TIPLE ARRIBA (23-S-4-1),VIAS PUBLICAS
CANDELARIA (23-1 23-2),VIAS PUBLICAS
CENTRAL (23-S-2-1),"HOTELES, RESIDENCIAS, Y SIMILARES."
JORGE ELIECER GAITAN,VIAS PUBLICAS
LA PRADERA I E24,CASAS DE HABITACION
ZAMORANO,VIAS PUBLICAS
CENTRAL,VIAS PUBLICAS
CENTRAL,VIAS PUBLICAS
VILLA CLAUDIA,VIAS PUBLICAS
VDA. POTRERITO,INTERIOR VEHICULO SERVICIO PUBLICO
ZONA CENTRO,VIAS PUBLICAS
ASOVIVIENDA,VIAS PUBLICAS
PALMIRA,VIAS PUBLICAS
VILLANUEVA,VIAS PUBLICAS
TERRA NOVA,VIAS PUBLICAS
VDA. LA MARIA,DENTRO DE LA VIVIENDA
SAN PIO,VIAS PUBLICAS
VILLA PAULA,ESTACION DEL METRO
CENTRO,APARTAMENTO
LA CANDELARIA C-10,VIAS PUBLICAS
VILLANUEVA C-10,VIAS PUBLICAS
LA CANDELARIA C-10,VIAS PUBLICAS
ZONA CENTRO,VEHICULO
GERONA  C-9,FRENTE A RESIDENCIAS - VIA PUBLICA
LA MILAGROSA  C-9,VIAS PUBLICAS
HECTOR ABAD GOMEZ C-5,VIAS PUBLICAS
CRISTO REY C-15,VIAS PUBLICAS
BARRIO COLOMBIA C-14,OFICINAS
LA CANDELARIA C-10,VIAS PUBLICAS
LA CANDELARIA C-10,VIAS PUBLICAS
LAURELES C-11,VIAS PUBLICAS
LOS ANGELES C-10,VIAS PUBLICAS
EL POBLADO C-14,CENTRO COMERCIAL
BOYACA C-5,VIAS PUBLICAS
LA CANDELARIA C-10,VIAS PUBLICAS
CARIBE C-5,SEMAFORO
ESTACION VILLA C-10,VIAS PUBLICAS
ESTACION VILLA C-10,VIAS PUBLICAS
AMANECERES,VIAS PUBLICAS
CAMPO ALEGRE,INTERIOR VEHICULO SERVICIO PUBLICO
LLANOGRANDE,SUPERMERCADOS
RINCON DE SAN ANTONIO,VIAS PUBLICAS
RIO ABAJO,FINCAS Y SIMILARES
CERAMICA,VIAS PUBLICAS
SAN MIGUEL,VIAS PUBLICAS
SAN MIGUEL,VIAS PUBLICAS
CARRIZAL,VIAS PUBLICAS
VILLAS DE LA CORDIALIDAD,VIAS PUBLICAS
VILLAS DE LA CORDIALIDAD,VIAS PUBLICAS
BOSTON,VIAS PUBLICAS
EL SANTUARIO,VIAS PUBLICAS
REBOLO,CASAS DE HABITACION
PASADENA,VIAS PUBLICAS
BOSTON,TRANSPORTE PUBLICO
SAN JOSE,VIAS PUBLICAS
CENTRO,VIAS PUBLICAS
BARRIO SANTA BARBARA,ALMACENES
CENTRO,VEHICULO
BARRIO LOS AGUSTINOS,CASAS DE HABITACION
BARRIO CHIPRE,VIAS PUBLICAS
CIUDADELA HABITACIONAL SIGLO XXI,VIAS PUBLICAS
LA LIBERTAD,VIAS PUBLICAS
ALGARROBO,CASAS DE HABITACION
ALGARROBO,CASAS DE HABITACION
ALGARROBO,CASAS DE HABITACION
ALGARROBO,CASAS DE HABITACION
ALGARROBO,CASAS DE HABITACION
CENTRO,"HOTELES, RESIDENCIAS, Y SIMILARES."
LA FRAGUA,CASAS DE HABITACION
LA FRAGUA,CASAS DE HABITACION
POSTOBON,VIAS PUBLICAS
SOLIDARIDAD,VIAS PUBLICAS
ALAMEDA,CASAS DE HABITACION
VILLA DOCENTE,LOCAL COMERCIAL
CHAMPAGNHA,VIAS PUBLICAS
RETIRO BAJO,VIAS PUBLICAS
EL CENTRO,CASAS DE HABITACION
VEREDA BESITO VOLADO,FINCAS Y SIMILARES
VIA MONTERIA -PLANETA RICA,VIAS PUBLICAS
URB. LA COLINA CAMPESTRE I SECTOR E-11,ESTACION TRANSMILENIO GARTAMIRA
CHAPINERO NORTE E-2,TRANSPORTE PUBLICO
CHAPINERO NORTE E-2,VIAS PUBLICAS
CHAPINERO NORTE E-2,VIAS PUBLICAS
ALQUERIA LA FRAGUA E-8,INTERIOR VEHICULO SERVICIO PUBLICO
NICOLAS DE FEDERMAN E-13,VIAS PUBLICAS
GUSTAVO RESTREPO E-18,ESTACION TRANSMILENIO QUIROGA
VENECIA E-6,TRANSPORTE PUBLICO
CHICO NORTE II SECTOR E-1,VIAS PUBLICAS
SAN ANTONIO E-15,VIAS PUBLICAS
EL RINCON E-11,VIAS PUBLICAS
LOS CEDRITOS E-1,BUS TRANSMILENIO
VILLA MAYOR E-15,VIAS PUBLICAS
CENTRO,VIAS PUBLICAS
31 DE OCTUBRE,VIAS PUBLICAS
31 DE OCTUBRE,VIAS PUBLICAS
EL CENTRO,VIAS PUBLICAS
QUIRINAL,TIENDA
LAS  MERCEDES,VIAS PUBLICAS
CENTRO,VIAS PUBLICAS
VEREDA MATEO RICO,CASAS DE HABITACION
CENTRO HISTORICO,VIAS PUBLICAS
CENTRO HISTORICO,PLAYA
CENTRO,VIAS PUBLICAS
MONTECARLO,VIAS PUBLICAS
BRISAS DEL GUATIQUIA,VIAS PUBLICAS
CENTRO,VIAS PUBLICAS
LA ESPERANZA,CENTRO COMERCIAL
VILLA MELIDA,VIAS PUBLICAS
CANAAN,CASAS DE HABITACION
LA ESMERALDA,VIAS PUBLICAS
CENTRO,VIAS PUBLICAS
CENTRO,VIAS PUBLICAS
PIAMONTE,VIAS PUBLICAS
CENTRO,VIAS PUBLICAS
CENTRO,VIAS PUBLICAS
MONTECARLO,VIAS PUBLICAS
GAVIOTAS,CASAS DE HABITACION
CENTRO,VIAS PUBLICAS
VEREDA APIAY,VIAS PUBLICAS
20 DE JULIO,VIAS PUBLICAS
CENTRO,VIAS PUBLICAS
SAN FELIPE,RESTAURANTES
CENTRO,VIAS PUBLICAS
20 DE JULIO,PARQUES
20 DE JULIO,VIAS PUBLICAS
CENTRO,VIAS PUBLICAS
OBRERO,VIAS PUBLICAS
SANTANDER,VIAS PUBLICAS
CENTRO,FRENTE A RESIDENCIAS - VIA PUBLICA
EMILIO BOTERO,VIAS PUBLICAS
SAN ANDRES,VIAS PUBLICAS
CENTRO,VIAS PUBLICAS
CENTRO,VIAS PUBLICAS
PANORAMICO I ETAPA,VIAS PUBLICAS
CENTRO,VIAS PUBLICAS
BARRIO CALLEJON,VIAS PUBLICAS
BARRIO BELLAVISTA,VIAS PUBLICAS
SUBESTACION SAN JUAN DE VILLALOBOS,VIAS PUBLICAS
EL CENTRO,VIAS PUBLICAS
NUEVA ARMENIA,VIAS PUBLICAS
ACACIAS,VIAS PUBLICAS
BOSQUES DE PINARES,VIAS PUBLICAS
CENTRO,VIAS PUBLICAS
BUENOS AIRES,CASAS DE HABITACION
SAGUANES,VIAS PUBLICAS
SAN DIEGO,VIAS PUBLICAS
BAYRON GAVIRIA,FRENTE A RESIDENCIAS - VIA PUBLICA
TURIN,OFICINAS
VDA. EL MANZANO,VIAS PUBLICAS
SANTA TERESITA,VIAS PUBLICAS
SECTOR PARQUE EL LAGO,VIAS PUBLICAS
ALFONSO LOPEZ,VIAS PUBLICAS
B. SAN FRANCISCO,VIAS PUBLICAS
GALAN GOMEZ,VIAS PUBLICAS
NARINHO,VIAS PUBLICAS
NARINHO,VIAS PUBLICAS
CENTRO,LOCAL COMERCIAL
CLAVERIANO,VIAS PUBLICAS
RONDON,VIAS PUBLICAS
ASOBETANIA,VIAS PUBLICAS
VILLA ANGELICA,VIAS PUBLICAS
KENEDY,PELUQUERIA Y SIMILARES
CENTRO,VIAS PUBLICAS
JARDIN II ETAPA,CASAS DE HABITACION
JORDAN MUTIFAMILIARES,VIAS PUBLICAS
ONZAGA,VIAS PUBLICAS
LA MANSION,VIAS PUBLICAS
KENEDY,VIAS PUBLICAS
MACARENA ALTA,VIAS PUBLICAS
EL JORDAN,VIAS PUBLICAS
LOS LAGOS E13,VIAS PUBLICAS
MORICHAL DE COMFANDI E15,FRENTE A RESIDENCIAS - VIA PUBLICA
SAN LUIS E6,TRANSPORTE PUBLICO
CRISTOBAL COLON E10,VIAS PUBLICAS
PARCELACIONES PANCE E22,OFICINAS
ALAMEDA E9,ALMACENES
PARCELACIONES PANCE E22,UNIVERSIDADES
ALFONSO BARBERENA E12,VIAS PUBLICAS
EL INGENIO E17,VIAS PUBLICAS
ALFONSO B. ARAGON E14,VIAS PUBLICAS
SAN FERNANDO VIEJO E19,VIAS PUBLICAS
EL SENA E5,VIAS PUBLICAS
PARCELACIONES PANCE E22,CARRETERA
PRIMERO DE MAYO E17,VIAS PUBLICAS
PANAMERICANO (23-2),VIAS PUBLICAS
VIA CENCAR - AEREOPUERTO,VIAS PUBLICAS
FRANCISCANOS,VIAS PUBLICAS
LAS DELICIAS,LOCAL COMERCIAL
VIA YUMBO DAPA (25-8),VIAS PUBLICAS
VIA YUMBO DAPA (25-8),VIAS PUBLICAS
BELALCAZAR E25,VIAS PUBLICAS
SIMON BOLIVAR,CASAS DE HABITACION
CENTRO (LETICIA),VIAS PUBLICAS
PARQUE PRINCIPAL,CASAS DE HABITACION
LA MADERA,VIAS PUBLICAS
SANTA MARIA # 3,VIAS PUBLICAS
LA CIUDADELA,VIAS PUBLICAS
LA CIUDADELA,VIAS PUBLICAS
CAMPO VALDES 1  C-4,VIAS PUBLICAS
LA CANDELARIA C-10,VIAS PUBLICAS
ARANJUEZ  C-4,VIAS PUBLICAS
BARRIO COLOMBIA C-14,ESTACION DEL METRO
CERRO EL VOLADOR C-7,PARQUES
ENCISO C-8,VIAS PUBLICAS
PROGRESO 2 C-6,VIAS PUBLICAS
VILLANUEVA C-10,VIAS PUBLICAS
PRADO C-10,VIAS PUBLICAS
SEVILLA  C-4,VIAS PUBLICAS
EL DIAMANTE C-7,VIAS PUBLICAS
LA PINHUELA  C-4,CASAS DE HABITACION
EL TESORO C-14,VIAS PUBLICAS
CONQUISTADORES C-11,VIAS PUBLICAS
LAURELES C-11,OFICINAS
PRADO C-10,VIAS PUBLICAS
LA CASTELLANA C-11,VIAS PUBLICAS
LA CANDELARIA C-10,VIAS PUBLICAS
MANILA C-14,VIAS PUBLICAS
NARANJAL C-11,VIAS PUBLICAS
PRADO C-10,VIAS PUBLICAS
SEVILLA  C-4,CENTRO COMERCIAL
LA CANDELARIA C-10,VIAS PUBLICAS
BOMBONA 1 C-10,VIAS PUBLICAS
SEVILLA  C-4,VIAS PUBLICAS
REMANSOS,CASAS DE HABITACION
TABLAZO,RODANDO SOBRE VIA - VIA PUBLICA
TABLAZO,RODANDO SOBRE VIA - VIA PUBLICA
LAS CABANHAS,VIAS PUBLICAS
EL ROSARIO,VIAS PUBLICAS
LA VICTORIA,VIAS PUBLICAS
CENTRO,VIAS PUBLICAS
7 DE ABRIL,VIAS PUBLICAS
CENTRO,VIAS PUBLICAS
VDA. RESGUARDO,VIAS PUBLICAS
PLAZA DE TOROS,INTERIOR VEHICULO SERVICIO PUBLICO
ONDAS DE OTUN,VIAS PUBLICAS
FUNDADORES,CASAS DE HABITACION
ARBOLEDA,VIAS PUBLICAS
CENTRO,VIAS PUBLICAS
SECTOR EL CABLE,RESTAURANTES
EL PORVENIR,VIAS PUBLICAS
LA VEGA,VIAS PUBLICAS
RICAURTE,VIAS PUBLICAS
TORASSO,VIAS PUBLICAS
TORASSO,SOBRE ANDEN - VIA PUBLICA
CENTRO,VIAS PUBLICAS
OLAYA HERRERA,VIAS PUBLICAS
EL CARMEN,VIAS PUBLICAS
FERIA GANADERA,VIAS PUBLICAS
ZONA MINERA,VIAS PUBLICAS
JULIO FIGUEROA VILLA,VIAS PUBLICAS
VEREDA SANTA ANA,VIAS PUBLICAS
LAS AGUAS E-17,VIAS PUBLICAS
URB. PALENQUE E-8,VIAS PUBLICAS
TEUSAQUILLO E-13,VIAS PUBLICAS
VILLA NELLY E-8,VIAS PUBLICAS
GALERIAS E-13,CENTRO COMERCIAL
LA MACARENA E-3,VIAS PUBLICAS
PASADENA ROYAL E-11,VIAS PUBLICAS
LA CASTELLANA E-12,ESTACION TRANSMETRO
LA CASTELLANA E-12,ESTACION TRANSMILENIO LA CASTELLANA
CIUDAD JARDIN SUR E-15,VIAS PUBLICAS
BILBAO E-11,VIAS PUBLICAS
ESTADOS UNIDOS   E-8,VIAS PUBLICAS
IBERIA E-11,ESTACION TRANSMILENIO GARTAMIRA
CHICO NORTE I E-2,CONSTRUCCION
SUBA CENTRO E-11,PARQUES
GUSTAVO RESTREPO E-18,ESTACION TRANSMILENIO CALLE 40 SUR
EL PLAYON - LA PLAYITA III E-18,INTERIOR VEHICULO SITP
ENTRERIOS E-12,VIAS PUBLICAS
QUIRIGUA I E-10,VIAS PUBLICAS
"LA SOLEDAD, SAN JOSE NORTE E-10",VIAS PUBLICAS
BOSQUES DE SAN JOSE E-18,VIAS PUBLICAS
VILLA CLEMENCIA E-7,VIAS PUBLICAS
EL RECREO E-7,VIAS PUBLICAS
LAS MARGARITAS E-7,INTERIOR VEHICULO SERVICIO PUBLICO
CENTRO,ALOJAMIENTO
CENTRO,VIAS PUBLICAS
EL CARMEN,VIAS PUBLICAS
EL CARMEN,VIAS PUBLICAS
LA VICTORIA,VIAS PUBLICAS
RAFAEL AZUERO MANCHOLA,VIAS PUBLICAS
LUIS CARLOS GALAN ETAPA I,VIAS PUBLICAS
ENRIQUE OLAYA HERRERA,VIAS PUBLICAS
