MUNICIPIO,SITIO
MONTERIA (CT),FINCAS Y SIMILARES
MONTERIA (CT),APARTAMENTO
MONTERIA (CT),VIAS PUBLICAS
MONTERIA (CT),VIAS PUBLICAS
SAHAGUN,VIAS PUBLICAS
BOGOTA D.C. (CT),VIAS PUBLICAS
BOGOTA D.C. (CT),VIAS PUBLICAS
BOGOTA D.C. (CT),VIAS PUBLICAS
BOGOTA D.C. (CT),CICLO RUTA
BOGOTA D.C. (CT),VIAS PUBLICAS
BOGOTA D.C. (CT),VIAS PUBLICAS
BOGOTA D.C. (CT),VIAS PUBLICAS
BOGOTA D.C. (CT),VIAS PUBLICAS
FACATATIVA,RESTAURANTES
FUSAGASUGA,VIAS PUBLICAS
GIRARDOT,VIAS PUBLICAS
MAICAO,FRENTE A ALMACEN - VIA PUBLICA
RIOHACHA (CT),VIAS PUBLICAS
RIOHACHA (CT),CASAS DE HABITACION
SAN JUAN DEL CESAR,CASAS DE HABITACION
NEIVA (CT),VIAS PUBLICAS
NEIVA (CT),VIAS PUBLICAS
NEIVA (CT),VIAS PUBLICAS
NEIVA (CT),VIAS PUBLICAS
PITALITO,VIAS PUBLICAS
CIENAGA,VIAS PUBLICAS
GRANADA,DISCOTECAS
PUERTO RICO,VIAS PUBLICAS
VILLAVICENCIO (CT),INTERIOR VEHICULO SERVICIO PUBLICO
VILLAVICENCIO (CT),VIAS PUBLICAS
VILLAVICENCIO (CT),CENTRO COMERCIAL
VILLAVICENCIO (CT),PARQUES
VILLAVICENCIO (CT),VIAS PUBLICAS
VILLAVICENCIO (CT),CASAS DE HABITACION
VILLAVICENCIO (CT),VIAS PUBLICAS
GUACHUCAL,VIAS PUBLICAS
IPIALES,CASAS DE HABITACION
IPIALES,VIAS PUBLICAS
PASTO (CT),VIAS PUBLICAS
PASTO (CT),TERMINAL DE TRANSPORTES
PASTO (CT),VIAS PUBLICAS
PASTO (CT),PARQUES
PASTO (CT),VIAS PUBLICAS
PASTO (CT),VIAS PUBLICAS
PASTO (CT),VIAS PUBLICAS
PASTO (CT),VIAS PUBLICAS
PASTO (CT),VIAS PUBLICAS
PASTO (CT),VIAS PUBLICAS
PASTO (CT),FRENTE A RESIDENCIAS - VIA PUBLICA
TUQUERRES,PARQUES
CUCUTA (CT),VIAS PUBLICAS
VILLA DEL ROSARIO,VIAS PUBLICAS
SAN MIGUEL,VIAS PUBLICAS
ARMENIA (CT),CASAS DE HABITACION
ARMENIA (CT),VIAS PUBLICAS
QUIMBAYA,VIAS PUBLICAS
QUIMBAYA,VIAS PUBLICAS
DOSQUEBRADAS,VIAS PUBLICAS
PEREIRA (CT),VIAS PUBLICAS
SAN ANDRES (CT),SOBRE ANDEN - VIA PUBLICA
SAN ANDRES (CT),CASAS DE HABITACION
SAN ANDRES (CT),VIAS PUBLICAS
BARRANCABERMEJA,VIAS PUBLICAS
BOLIVAR,VIAS PUBLICAS
BUCARAMANGA (CT),CASAS DE HABITACION
BUCARAMANGA (CT),VIAS PUBLICAS
GIRON,PARQUES
GIRON,VIAS PUBLICAS
PIEDECUESTA,VIAS PUBLICAS
PIEDECUESTA,CANCHA DE FUTBOL
PIEDECUESTA,CASAS DE HABITACION
SAN GIL,VIAS PUBLICAS
SINCELEJO (CT),VIAS PUBLICAS
IBAGUE (CT),INTERIOR VEHICULO PARTICULAR
IBAGUE (CT),INTERIOR VEHICULO PARTICULAR
IBAGUE (CT),CASAS DE HABITACION
IBAGUE (CT),VIAS PUBLICAS
IBAGUE (CT),CASAS DE HABITACION
MELGAR,VIAS PUBLICAS
BUENAVENTURA,VIAS PUBLICAS
CALI (CT),VIAS PUBLICAS
CALI (CT),RESTAURANTES
CALI (CT),"HOTELES, RESIDENCIAS, Y SIMILARES."
CALI (CT),BUS MASIVO INTEGRAL DE OCCIDENTE M.I.O.
CALI (CT),VIAS PUBLICAS
CALI (CT),FRENTE A RESIDENCIAS - VIA PUBLICA
CALI (CT),CONJUNTO RESIDENCIAL
CALI (CT),VIAS PUBLICAS
CALI (CT),VIAS PUBLICAS
CALI (CT),VIAS PUBLICAS
CANDELARIA,CASAS DE HABITACION
CANDELARIA,BOMBA DE GASOLINA
GUACARI,VIAS PUBLICAS
PALMIRA,DENTRO DE LA VIVIENDA
PALMIRA,VIAS PUBLICAS
SEVILLA,VIAS PUBLICAS
TULUA,VIAS PUBLICAS
TULUA,VIAS PUBLICAS
TULUA,DENTRO DE LA VIVIENDA
TULUA,VIAS PUBLICAS
YUMBO,PARQUEADERO
YUMBO,VIAS PUBLICAS
ANDES,VIAS PUBLICAS
BARBOSA,VIAS PUBLICAS
BELLO,VIAS PUBLICAS
BELLO,VIAS PUBLICAS
BELLO,VIAS PUBLICAS
ENVIGADO,VIAS PUBLICAS
ENVIGADO,VIAS PUBLICAS
LA ESTRELLA,VIAS PUBLICAS
MARINILLA,CASAS DE HABITACION
MEDELLIN (CT),PARQUEADERO
MEDELLIN (CT),VIAS PUBLICAS
MEDELLIN (CT),PARQUES
MEDELLIN (CT),VIAS PUBLICAS
MEDELLIN (CT),VIAS PUBLICAS
MEDELLIN (CT),RESTAURANTES
MEDELLIN (CT),VIAS PUBLICAS
MEDELLIN (CT),VIAS PUBLICAS
MEDELLIN (CT),VIAS PUBLICAS
MEDELLIN (CT),VIAS PUBLICAS
MEDELLIN (CT),TERMINAL DE TRANSPORTES
MEDELLIN (CT),VIAS PUBLICAS
MEDELLIN (CT),VIAS PUBLICAS
MEDELLIN (CT),VIAS PUBLICAS
MEDELLIN (CT),VIAS PUBLICAS
MEDELLIN (CT),VIAS PUBLICAS
MEDELLIN (CT),VIAS PUBLICAS
MEDELLIN (CT),VIAS PUBLICAS
MEDELLIN (CT),VIAS PUBLICAS
MEDELLIN (CT),VIAS PUBLICAS
MEDELLIN (CT),TERMINAL DE TRANSPORTES
MEDELLIN (CT),VIAS PUBLICAS
NECOCLI,"DROGUERIAS, FARMACIAS"
RIONEGRO,SUPERMERCADOS
BARRANQUILLA (CT),VIAS PUBLICAS
BARRANQUILLA (CT),VIAS PUBLICAS
LURUACO,VIAS PUBLICAS
SOLEDAD,VIAS PUBLICAS
TURBACO,VIAS PUBLICAS
CHIQUINQUIRA,INTERIOR VEHICULO SERVICIO PUBLICO
CHIQUINQUIRA,VIAS PUBLICAS
CHIQUINQUIRA,VIAS PUBLICAS
MANIZALES (CT),ZONAS AZULES - VIA PUBLICA
MANIZALES (CT),APARTAMENTO
MANIZALES (CT),APARTAMENTO
MANIZALES (CT),INTERIOR VEHICULO PARTICULAR
VILLAMARIA,VIAS PUBLICAS
FLORENCIA (CT),CANCHA DE FUTBOL
FLORENCIA (CT),VIAS PUBLICAS
SAN VICENTE DEL CAGUAN,RIOS
TAURAMENA,RIOS
YOPAL (CT),VIAS PUBLICAS
PUERTO TEJADA,VIAS PUBLICAS
VALLEDUPAR (CT),VIAS PUBLICAS
VALLEDUPAR (CT),VIAS PUBLICAS
VALLEDUPAR (CT),VIAS PUBLICAS
QUIBDO (CT),VIAS PUBLICAS
MONTERIA (CT),VIAS PUBLICAS
BOGOTA D.C. (CT),ALMACENES
BOGOTA D.C. (CT),VIAS PUBLICAS
BOGOTA D.C. (CT),TRANSPORTE PUBLICO
BOGOTA D.C. (CT),SOBRE ANDEN - VIA PUBLICA
BOGOTA D.C. (CT),VIAS PUBLICAS
BOGOTA D.C. (CT),VIAS PUBLICAS
BOGOTA D.C. (CT),TRANSPORTE PUBLICO
BOGOTA D.C. (CT),PARQUES
BOGOTA D.C. (CT),OFICINAS
BOGOTA D.C. (CT),VIAS PUBLICAS
BOGOTA D.C. (CT),VIAS PUBLICAS
BOGOTA D.C. (CT),VIAS PUBLICAS
BOGOTA D.C. (CT),VIAS PUBLICAS
MAICAO,VIAS PUBLICAS
MAICAO,VIAS PUBLICAS
VILLANUEVA,FRENTE A RESIDENCIAS - VIA PUBLICA
SAN JOSE DEL GUAVIARE (CT),VIAS PUBLICAS
GARZON,PISCINA
NEIVA (CT),VIAS PUBLICAS
NEIVA (CT),VIAS PUBLICAS
NEIVA (CT),VIAS PUBLICAS
SANTA MARTA (CT),INTERIOR VEHICULO SERVICIO PUBLICO
SANTA MARTA (CT),VIAS PUBLICAS
SANTA MARTA (CT),CASAS DE HABITACION
SANTA MARTA (CT),VIAS PUBLICAS
VILLAVICENCIO (CT),VIAS PUBLICAS
VILLAVICENCIO (CT),VIAS PUBLICAS
VILLAVICENCIO (CT),VIAS PUBLICAS
VILLAVICENCIO (CT),VIAS PUBLICAS
VILLAVICENCIO (CT),VIAS PUBLICAS
IPIALES,VIAS PUBLICAS
PASTO (CT),VIAS PUBLICAS
PASTO (CT),VIAS PUBLICAS
PASTO (CT),VIAS PUBLICAS
PASTO (CT),VIAS PUBLICAS
PASTO (CT),FRENTE A RESIDENCIAS - VIA PUBLICA
PASTO (CT),VIAS PUBLICAS
PASTO (CT),VIAS PUBLICAS
PASTO (CT),VIAS PUBLICAS
PASTO (CT),VIAS PUBLICAS
PASTO (CT),VIAS PUBLICAS
PASTO (CT),VIAS PUBLICAS
PASTO (CT),VIAS PUBLICAS
PASTO (CT),VIAS PUBLICAS
PASTO (CT),VIAS PUBLICAS
PASTO (CT),FRENTE A RESIDENCIAS - VIA PUBLICA
PASTO (CT),VIAS PUBLICAS
PASTO (CT),FRENTE A COLEGIO - VIA PUBLICA
CUCUTA (CT),RESTAURANTES
CUCUTA (CT),VIAS PUBLICAS
ARMENIA (CT),VIAS PUBLICAS
ARMENIA (CT),VIAS PUBLICAS
ARMENIA (CT),VIAS PUBLICAS
ARMENIA (CT),VIAS PUBLICAS
QUIMBAYA,VIAS PUBLICAS
QUIMBAYA,VIAS PUBLICAS
BELEN DE UMBRIA,"BARES, CANTINAS Y SIMILARES"
BELEN DE UMBRIA,"BARES, CANTINAS Y SIMILARES"
BELEN DE UMBRIA,"BARES, CANTINAS Y SIMILARES"
DOSQUEBRADAS,VIAS PUBLICAS
PEREIRA (CT),VIAS PUBLICAS
PEREIRA (CT),VIAS PUBLICAS
PEREIRA (CT),VIAS PUBLICAS
PEREIRA (CT),VIAS PUBLICAS
PEREIRA (CT),VIAS PUBLICAS
PEREIRA (CT),VIAS PUBLICAS
BARRANCABERMEJA,VIAS PUBLICAS
BUCARAMANGA (CT),FRENTE CENTRO COMERCIAL
BUCARAMANGA (CT),VIAS PUBLICAS
BUCARAMANGA (CT),VIAS PUBLICAS
BUCARAMANGA (CT),VIAS PUBLICAS
BUCARAMANGA (CT),VIAS PUBLICAS
BUCARAMANGA (CT),VIAS PUBLICAS
BUCARAMANGA (CT),VIAS PUBLICAS
FLORIDABLANCA,INTERIOR VEHICULO SERVICIO PUBLICO
FLORIDABLANCA,VIAS PUBLICAS
ALVARADO,RIOS
CAJAMARCA,VIAS PUBLICAS
ESPINAL,FINCAS Y SIMILARES
CALI (CT),VIAS PUBLICAS
CALI (CT),SEMAFORO
CALI (CT),VIAS PUBLICAS
CALI (CT),VIAS PUBLICAS
CALI (CT),VIAS PUBLICAS
CALI (CT),VIAS PUBLICAS
CALI (CT),VIAS PUBLICAS
CALI (CT),VIAS PUBLICAS
CALI (CT),VIAS PUBLICAS
CALI (CT),VIAS PUBLICAS
CALI (CT),VIAS PUBLICAS
CALI (CT),VIAS PUBLICAS
CALI (CT),VIAS PUBLICAS
CALI (CT),VIAS PUBLICAS
CANDELARIA,VIAS PUBLICAS
CANDELARIA,VIAS PUBLICAS
CANDELARIA,"HOTELES, RESIDENCIAS, Y SIMILARES."
GUADALAJARA DE BUGA,VIAS PUBLICAS
JAMUNDI,CASAS DE HABITACION
PALMIRA,VIAS PUBLICAS
PALMIRA,VIAS PUBLICAS
PALMIRA,VIAS PUBLICAS
SEVILLA,VIAS PUBLICAS
BARBOSA,INTERIOR VEHICULO SERVICIO PUBLICO
BELLO,VIAS PUBLICAS
CAUCASIA,VIAS PUBLICAS
CISNEROS,VIAS PUBLICAS
COPACABANA,VIAS PUBLICAS
ITAGUI,VIAS PUBLICAS
ITAGUI,DENTRO DE LA VIVIENDA
ITAGUI,VIAS PUBLICAS
ITAGUI,ESTACION DEL METRO
MARINILLA,APARTAMENTO
MEDELLIN (CT),VIAS PUBLICAS
MEDELLIN (CT),VIAS PUBLICAS
MEDELLIN (CT),VIAS PUBLICAS
CALARCA,VEHICULO
MEDELLIN (CT),FRENTE A RESIDENCIAS - VIA PUBLICA
MEDELLIN (CT),VIAS PUBLICAS
MEDELLIN (CT),VIAS PUBLICAS
MEDELLIN (CT),VIAS PUBLICAS
MEDELLIN (CT),OFICINAS
MEDELLIN (CT),VIAS PUBLICAS
MEDELLIN (CT),VIAS PUBLICAS
MEDELLIN (CT),VIAS PUBLICAS
MEDELLIN (CT),VIAS PUBLICAS
MEDELLIN (CT),CENTRO COMERCIAL
MEDELLIN (CT),VIAS PUBLICAS
MEDELLIN (CT),VIAS PUBLICAS
MEDELLIN (CT),SEMAFORO
MEDELLIN (CT),VIAS PUBLICAS
MEDELLIN (CT),VIAS PUBLICAS
RETIRO,VIAS PUBLICAS
RIONEGRO,INTERIOR VEHICULO SERVICIO PUBLICO
RIONEGRO,SUPERMERCADOS
RIONEGRO,VIAS PUBLICAS
RIONEGRO,FINCAS Y SIMILARES
SABANETA,VIAS PUBLICAS
SANTO DOMINGO,VIAS PUBLICAS
SANTO DOMINGO,VIAS PUBLICAS
BARRANQUILLA (CT),VIAS PUBLICAS
BARRANQUILLA (CT),VIAS PUBLICAS
BARRANQUILLA (CT),VIAS PUBLICAS
BARRANQUILLA (CT),VIAS PUBLICAS
BARRANQUILLA (CT),VIAS PUBLICAS
BARRANQUILLA (CT),CASAS DE HABITACION
BARRANQUILLA (CT),VIAS PUBLICAS
BARRANQUILLA (CT),TRANSPORTE PUBLICO
DUITAMA,VIAS PUBLICAS
SOGAMOSO,VIAS PUBLICAS
TUNJA (CT),ALMACENES
LA DORADA,VEHICULO
MANIZALES (CT),CASAS DE HABITACION
MANIZALES (CT),VIAS PUBLICAS
FLORENCIA (CT),VIAS PUBLICAS
FLORENCIA (CT),VIAS PUBLICAS
MANI,CASAS DE HABITACION
MANI,CASAS DE HABITACION
MANI,CASAS DE HABITACION
MANI,CASAS DE HABITACION
MANI,CASAS DE HABITACION
MONTERREY,"HOTELES, RESIDENCIAS, Y SIMILARES."
PAZ DE ARIPORO,CASAS DE HABITACION
PAZ DE ARIPORO,CASAS DE HABITACION
PATIA,VIAS PUBLICAS
POPAYAN (CT),VIAS PUBLICAS
POPAYAN (CT),CASAS DE HABITACION
POPAYAN (CT),LOCAL COMERCIAL
POPAYAN (CT),VIAS PUBLICAS
POPAYAN (CT),VIAS PUBLICAS
AYAPEL,CASAS DE HABITACION
MONTERIA (CT),FINCAS Y SIMILARES
MONTERIA (CT),VIAS PUBLICAS
BOGOTA D.C. (CT),ESTACION TRANSMILENIO GARTAMIRA
BOGOTA D.C. (CT),TRANSPORTE PUBLICO
BOGOTA D.C. (CT),VIAS PUBLICAS
BOGOTA D.C. (CT),VIAS PUBLICAS
BOGOTA D.C. (CT),INTERIOR VEHICULO SERVICIO PUBLICO
BOGOTA D.C. (CT),VIAS PUBLICAS
BOGOTA D.C. (CT),ESTACION TRANSMILENIO QUIROGA
BOGOTA D.C. (CT),TRANSPORTE PUBLICO
BOGOTA D.C. (CT),VIAS PUBLICAS
BOGOTA D.C. (CT),VIAS PUBLICAS
BOGOTA D.C. (CT),VIAS PUBLICAS
BOGOTA D.C. (CT),BUS TRANSMILENIO
BOGOTA D.C. (CT),VIAS PUBLICAS
MAICAO,VIAS PUBLICAS
RIOHACHA (CT),VIAS PUBLICAS
RIOHACHA (CT),VIAS PUBLICAS
VILLANUEVA,VIAS PUBLICAS
NEIVA (CT),TIENDA
NEIVA (CT),VIAS PUBLICAS
PITALITO,VIAS PUBLICAS
TIMANA,CASAS DE HABITACION
SANTA MARTA (CT),VIAS PUBLICAS
SANTA MARTA (CT),PLAYA
VILLAVICENCIO (CT),VIAS PUBLICAS
VILLAVICENCIO (CT),VIAS PUBLICAS
VILLAVICENCIO (CT),VIAS PUBLICAS
VILLAVICENCIO (CT),VIAS PUBLICAS
VILLAVICENCIO (CT),CENTRO COMERCIAL
VILLAVICENCIO (CT),VIAS PUBLICAS
VILLAVICENCIO (CT),CASAS DE HABITACION
VILLAVICENCIO (CT),VIAS PUBLICAS
VILLAVICENCIO (CT),VIAS PUBLICAS
VILLAVICENCIO (CT),VIAS PUBLICAS
VILLAVICENCIO (CT),VIAS PUBLICAS
VILLAVICENCIO (CT),VIAS PUBLICAS
VILLAVICENCIO (CT),VIAS PUBLICAS
VILLAVICENCIO (CT),VIAS PUBLICAS
VILLAVICENCIO (CT),CASAS DE HABITACION
VILLAVICENCIO (CT),VIAS PUBLICAS
VILLAVICENCIO (CT),VIAS PUBLICAS
IPIALES,VIAS PUBLICAS
IPIALES,VIAS PUBLICAS
IPIALES,RESTAURANTES
IPIALES,VIAS PUBLICAS
IPIALES,PARQUES
IPIALES,VIAS PUBLICAS
IPIALES,VIAS PUBLICAS
IPIALES,VIAS PUBLICAS
IPIALES,VIAS PUBLICAS
PASTO (CT),FRENTE A RESIDENCIAS - VIA PUBLICA
PASTO (CT),VIAS PUBLICAS
PASTO (CT),VIAS PUBLICAS
PASTO (CT),VIAS PUBLICAS
PASTO (CT),VIAS PUBLICAS
PASTO (CT),VIAS PUBLICAS
PASTO (CT),VIAS PUBLICAS
CUCUTA (CT),VIAS PUBLICAS
CUCUTA (CT),VIAS PUBLICAS
MOCOA (CT),VIAS PUBLICAS
PUERTO ASIS,VIAS PUBLICAS
ARMENIA (CT),VIAS PUBLICAS
ARMENIA (CT),VIAS PUBLICAS
ARMENIA (CT),VIAS PUBLICAS
ARMENIA (CT),VIAS PUBLICAS
ARMENIA (CT),CASAS DE HABITACION
CALARCA,VIAS PUBLICAS
DOSQUEBRADAS,VIAS PUBLICAS
LA VIRGINIA,FRENTE A RESIDENCIAS - VIA PUBLICA
PEREIRA (CT),OFICINAS
PEREIRA (CT),VIAS PUBLICAS
PEREIRA (CT),VIAS PUBLICAS
PEREIRA (CT),VIAS PUBLICAS
PEREIRA (CT),VIAS PUBLICAS
SANTA ROSA DE CABAL,VIAS PUBLICAS
BARRANCABERMEJA,VIAS PUBLICAS
BUCARAMANGA (CT),VIAS PUBLICAS
BUCARAMANGA (CT),VIAS PUBLICAS
BUCARAMANGA (CT),LOCAL COMERCIAL
BUCARAMANGA (CT),VIAS PUBLICAS
ESPINAL,VIAS PUBLICAS
ESPINAL,VIAS PUBLICAS
GUAMO,VIAS PUBLICAS
IBAGUE (CT),PELUQUERIA Y SIMILARES
IBAGUE (CT),VIAS PUBLICAS
IBAGUE (CT),CASAS DE HABITACION
IBAGUE (CT),VIAS PUBLICAS
IBAGUE (CT),VIAS PUBLICAS
IBAGUE (CT),VIAS PUBLICAS
IBAGUE (CT),VIAS PUBLICAS
IBAGUE (CT),VIAS PUBLICAS
LERIDA,VIAS PUBLICAS
CALI (CT),VIAS PUBLICAS
CALI (CT),FRENTE A RESIDENCIAS - VIA PUBLICA
CALI (CT),TRANSPORTE PUBLICO
CALI (CT),VIAS PUBLICAS
CALI (CT),OFICINAS
CALI (CT),ALMACENES
CALI (CT),UNIVERSIDADES
CALI (CT),VIAS PUBLICAS
CALI (CT),VIAS PUBLICAS
CALI (CT),VIAS PUBLICAS
CALI (CT),VIAS PUBLICAS
CALI (CT),VIAS PUBLICAS
CALI (CT),CARRETERA
CALI (CT),VIAS PUBLICAS
CANDELARIA,VIAS PUBLICAS
PALMIRA,VIAS PUBLICAS
TULUA,VIAS PUBLICAS
TULUA,LOCAL COMERCIAL
YUMBO,VIAS PUBLICAS
YUMBO,VIAS PUBLICAS
YUMBO,VIAS PUBLICAS
LETICIA (CT),CASAS DE HABITACION
LETICIA (CT),VIAS PUBLICAS
ABEJORRAL,CASAS DE HABITACION
BELLO,VIAS PUBLICAS
ITAGUI,VIAS PUBLICAS
MARINILLA,VIAS PUBLICAS
MARINILLA,VIAS PUBLICAS
MEDELLIN (CT),VIAS PUBLICAS
MEDELLIN (CT),VIAS PUBLICAS
MEDELLIN (CT),VIAS PUBLICAS
MEDELLIN (CT),ESTACION DEL METRO
MEDELLIN (CT),PARQUES
MEDELLIN (CT),VIAS PUBLICAS
MEDELLIN (CT),VIAS PUBLICAS
MEDELLIN (CT),VIAS PUBLICAS
MEDELLIN (CT),VIAS PUBLICAS
MEDELLIN (CT),VIAS PUBLICAS
MEDELLIN (CT),VIAS PUBLICAS
MEDELLIN (CT),CASAS DE HABITACION
MEDELLIN (CT),VIAS PUBLICAS
MEDELLIN (CT),VIAS PUBLICAS
MEDELLIN (CT),OFICINAS
MEDELLIN (CT),VIAS PUBLICAS
MEDELLIN (CT),VIAS PUBLICAS
MEDELLIN (CT),VIAS PUBLICAS
MEDELLIN (CT),VIAS PUBLICAS
MEDELLIN (CT),VIAS PUBLICAS
MEDELLIN (CT),VIAS PUBLICAS
MEDELLIN (CT),CENTRO COMERCIAL
MEDELLIN (CT),VIAS PUBLICAS
MEDELLIN (CT),VIAS PUBLICAS
MEDELLIN (CT),VIAS PUBLICAS
RIONEGRO,CASAS DE HABITACION
RIONEGRO,RODANDO SOBRE VIA - VIA PUBLICA
RIONEGRO,RODANDO SOBRE VIA - VIA PUBLICA
ARAUCA (CT),VIAS PUBLICAS
BARRANQUILLA (CT),VIAS PUBLICAS
BARRANQUILLA (CT),VIAS PUBLICAS
BARRANQUILLA (CT),VIAS PUBLICAS
BARRANQUILLA (CT),VIAS PUBLICAS
SOGAMOSO,VIAS PUBLICAS
TIBASOSA,VIAS PUBLICAS
MANIZALES (CT),INTERIOR VEHICULO SERVICIO PUBLICO
MANIZALES (CT),VIAS PUBLICAS
MANIZALES (CT),CASAS DE HABITACION
MANIZALES (CT),VIAS PUBLICAS
MANIZALES (CT),VIAS PUBLICAS
MANIZALES (CT),RESTAURANTES
FLORENCIA (CT),VIAS PUBLICAS
FLORENCIA (CT),VIAS PUBLICAS
FLORENCIA (CT),VIAS PUBLICAS
FLORENCIA (CT),VIAS PUBLICAS
FLORENCIA (CT),SOBRE ANDEN - VIA PUBLICA
SANTANDER DE QUILICHAO,VIAS PUBLICAS
AGUACHICA,VIAS PUBLICAS
VALLEDUPAR (CT),VIAS PUBLICAS
VALLEDUPAR (CT),VIAS PUBLICAS
QUIBDO (CT),VIAS PUBLICAS
QUIBDO (CT),VIAS PUBLICAS
TIERRALTA,VIAS PUBLICAS
BOGOTA D.C. (CT),VIAS PUBLICAS
BOGOTA D.C. (CT),VIAS PUBLICAS
BOGOTA D.C. (CT),VIAS PUBLICAS
BOGOTA D.C. (CT),VIAS PUBLICAS
BOGOTA D.C. (CT),CENTRO COMERCIAL
BOGOTA D.C. (CT),VIAS PUBLICAS
BOGOTA D.C. (CT),VIAS PUBLICAS
BOGOTA D.C. (CT),ESTACION TRANSMETRO
BOGOTA D.C. (CT),ESTACION TRANSMILENIO LA CASTELLANA
BOGOTA D.C. (CT),VIAS PUBLICAS
BOGOTA D.C. (CT),VIAS PUBLICAS
BOGOTA D.C. (CT),VIAS PUBLICAS
BOGOTA D.C. (CT),ESTACION TRANSMILENIO GARTAMIRA
BOGOTA D.C. (CT),CONSTRUCCION
BOGOTA D.C. (CT),PARQUES
BOGOTA D.C. (CT),ESTACION TRANSMILENIO CALLE 40 SUR
BOGOTA D.C. (CT),INTERIOR VEHICULO SITP
BOGOTA D.C. (CT),VIAS PUBLICAS
BOGOTA D.C. (CT),VIAS PUBLICAS
BOGOTA D.C. (CT),VIAS PUBLICAS
BOGOTA D.C. (CT),VIAS PUBLICAS
BOGOTA D.C. (CT),VIAS PUBLICAS
BOGOTA D.C. (CT),VIAS PUBLICAS
BOGOTA D.C. (CT),INTERIOR VEHICULO SERVICIO PUBLICO
NILO,ALOJAMIENTO
MAICAO,VIAS PUBLICAS
MAICAO,VIAS PUBLICAS
MAICAO,VIAS PUBLICAS
MAICAO,VIAS PUBLICAS
NEIVA (CT),VIAS PUBLICAS
NEIVA (CT),VIAS PUBLICAS
NEIVA (CT),VIAS PUBLICAS
VILLAVICENCIO (CT),VIAS PUBLICAS
VILLAVICENCIO (CT),VIAS PUBLICAS
VILLAVICENCIO (CT),VIAS PUBLICAS
VILLAVICENCIO (CT),VIAS PUBLICAS
VILLAVICENCIO (CT),VIAS PUBLICAS
VILLAVICENCIO (CT),VIAS PUBLICAS
VILLAVICENCIO (CT),VIAS PUBLICAS
VILLAVICENCIO (CT),VIAS PUBLICAS
VILLAVICENCIO (CT),VIAS PUBLICAS
VILLAVICENCIO (CT),VIAS PUBLICAS
VILLAVICENCIO (CT),CASAS DE HABITACION
VILLAVICENCIO (CT),CASAS DE HABITACION
VILLAVICENCIO (CT),VIAS PUBLICAS
IPIALES,VIAS PUBLICAS
IPIALES,VIAS PUBLICAS
IPIALES,VIAS PUBLICAS
IPIALES,OFICINAS
IPIALES,VIAS PUBLICAS
PASTO (CT),VIAS PUBLICAS
PASTO (CT),VIAS PUBLICAS
PASTO (CT),VIAS PUBLICAS
PASTO (CT),SOBRE ANDEN - VIA PUBLICA
PASTO (CT),VIAS PUBLICAS
PASTO (CT),VIAS PUBLICAS
PASTO (CT),VIAS PUBLICAS
