DIA,BARRIO
LUNES,SURAMERICANA C-11
LUNES,ESTACION VILLA C-10
LUNES,PARQUE NORTE C-4
LUNES,CASTILLA C-5
LUNES,EL CHAGUALO C-10
LUNES,LA FLORIDA C-14
LUNES,PALENQUE 1 C-7
LUNES,BARRIO CAYCEDO C-9
LUNES,BELLO HORIZONTE C-7
LUNES,BOMBONA 1 C-10
LUNES,CARIBE C-5
LUNES,EL RINCON C-16
LUNES,SEVILLA  C-4
LUNES,GUAYABAL C-15
LUNES,GRANADA C-16
LUNES,VILLANUEVA C-10
LUNES,SANTA CRUZ  C-2
LUNES,ESTACION VILLA C-10
LUNES,CATALUNHA  C-9
LUNES,SEVILLA  C-4
LUNES,CARIBE C-5
LUNES,EL CHAGUALO C-10
LUNES,CARIBE
LUNES,SECTOR GALERIA
LUNES,EL CARMEN
LUNES,BELLA ARENA
LUNES,SANTA CRUZ
LUNES,LA ARBOLEDA
LUNES,LA CRUZ
LUNES,VDA. TENERIA
LUNES,BARRIO LOS SAUCES
LUNES,BARRIO POPULAR
LUNES,CENTRO
LUNES,CRISTO REY
LUNES,CRISTO REY
LUNES,LA ESTRELLA
LUNES,URAPANES
LUNES,LA AMAZONIA
LUNES,JORGE ELIECER GAITAN
LUNES,VIA PALESTRO
LUNES,RAIZAL
LUNES,ESPERANZA
LUNES,LA ESPERANZA
LUNES,MAREIGUA
LUNES,LAS FLORES
LUNES,LAS FLORES
LUNES,EL JARDIN
LUNES,LA FLORESTA
LUNES,VENECIA E-6
LUNES,SUCRE E-2
LUNES,EL POA E-11
LUNES,LA CATEDRAL E-3
LUNES,SANTA FE E-14
LUNES,SAN ISIDRO E-4
LUNES,LA MACARENA E-3
LUNES,SUBA CENTRO E-11
LUNES,CHICO NAVARRA E-1
LUNES,SUBA CENTRO E-11
LUNES,LA PAZ E-3
LUNES,SANTA ISABEL E-14
LUNES,SUBA CENTRO E-11
LUNES,ALTO PRADO
LUNES,COLOMBIALIBRE
LUNES,EL CENTRO
LUNES,BARRIO DIVINO NINHO
LUNES,VEREDA CLAROS
LUNES,EL VERGEL
LUNES,LOS DUJOS
LUNES,ENRIQUE OLAYA HERRERA
LUNES,REPOSO
LUNES,ALCAZARES
LUNES,CENTRO HISTORICO
LUNES,RODADERO SUR
LUNES,CENTRO
LUNES,ESTERO
LUNES,INDUSTRIAL
LUNES,SAN BENITO
LUNES,BELLO HORIZONTE
LUNES,BENJAMIN HERRERA
LUNES,RECUERDO
LUNES,CANTARANA
LUNES,POTRERILLO
LUNES,POTRERILLO
LUNES,NUEVO SOL
LUNES,CENTRO
LUNES,CHAPAL
LUNES,CAICEDO ALTO
LUNES,AV. ESTUDIANTES
LUNES,CHILE
LUNES,CENTRO
LUNES,POTRERILLO
LUNES,MADRIGAL
LUNES,NIZA II
LUNES,CENTRO
LUNES,CENTRO
LUNES,AV. CHAMPAGNAT
LUNES,BARRIO PRADOS DEL ESTE
LUNES,BARRIO EL BOSQUE
LUNES,SECTOR CAM
LUNES,VERACRUZ
LUNES,SECTOR COLISEO DEL CAFE
LUNES,MIRAFLORES BAJO
LUNES,CIUDADELA EL ENSUENHO
LUNES,CIUDADELA EL ENSUENHO
LUNES,B. CENTRO
LUNES,B. CENTRO
LUNES,B. CENTRO
LUNES,SECTOR LA POPA
LUNES,LA AURORA
LUNES,LA AURORA
LUNES,PLAZA CIVICA CIUDAD VICTORIA
LUNES,SECTOR PLAZA DE BOLIVAR
LUNES,SECTOR AVENIDA DEL RIO
LUNES,LAS GARZAS
LUNES,LA ESPERANZA
LUNES,GARCIA ROVIRA
LUNES,CABECERA DEL LLANO
LUNES,REGADERO NORTE
LUNES,TRANSICION V
LUNES,DIAMANTE II
LUNES,VILLA ROSA
LUNES,PIO XII
LUNES,EL BOSQUE
LUNES,PANORAMA
LUNES,VIA PIEDRAS
LUNES,CENTRO
LUNES,VRDA. DINDALITO
LUNES,EL GRAN LIMONAR E17
LUNES,NORMANDIA E2
LUNES,ALFONSO B. ARAGON E14
LUNES,MARIANO RAMOS E16
LUNES,EL RETIRO E15
LUNES,SANTA ROSA E3
LUNES,SANTA TERESITA E2
LUNES,SAN PEDRO E3
LUNES,VALLADO E15
LUNES,SIETE DE AGOSTO E7
LUNES,JORGE ISAACS E4
LUNES,JORGE ISAACS E4
LUNES,SILOE E20
LUNES,MARROQUIN I E14
LUNES,CALLEJON TIPLE ARRIBA (23-S-4-1)
LUNES,CANDELARIA (23-1 23-2)
LUNES,CENTRAL (23-S-2-1)
LUNES,JORGE ELIECER GAITAN
LUNES,LA PRADERA I E24
LUNES,ZAMORANO
LUNES,CENTRAL
LUNES,CENTRAL
LUNES,VILLA CLAUDIA
MARTES,VDA. POTRERITO
MARTES,ZONA CENTRO
MARTES,ASOVIVIENDA
MARTES,PALMIRA
MARTES,VILLANUEVA
MARTES,TERRA NOVA
MARTES,VDA. LA MARIA
MARTES,SAN PIO
MARTES,VILLA PAULA
MARTES,CENTRO
MARTES,LA CANDELARIA C-10
MARTES,VILLANUEVA C-10
MARTES,LA CANDELARIA C-10
MARTES,ZONA CENTRO
MARTES,GERONA  C-9
MARTES,LA MILAGROSA  C-9
MARTES,HECTOR ABAD GOMEZ C-5
MARTES,CRISTO REY C-15
MARTES,BARRIO COLOMBIA C-14
MARTES,LA CANDELARIA C-10
MARTES,LA CANDELARIA C-10
MARTES,LAURELES C-11
MARTES,LOS ANGELES C-10
MARTES,EL POBLADO C-14
MARTES,BOYACA C-5
MARTES,LA CANDELARIA C-10
MARTES,CARIBE C-5
MARTES,ESTACION VILLA C-10
MARTES,ESTACION VILLA C-10
MARTES,AMANECERES
MARTES,CAMPO ALEGRE
MARTES,LLANOGRANDE
MARTES,RINCON DE SAN ANTONIO
MARTES,RIO ABAJO
MARTES,CERAMICA
MARTES,SAN MIGUEL
MARTES,SAN MIGUEL
MARTES,CARRIZAL
MARTES,VILLAS DE LA CORDIALIDAD
MARTES,VILLAS DE LA CORDIALIDAD
MARTES,BOSTON
MARTES,EL SANTUARIO
MARTES,REBOLO
MARTES,PASADENA
MARTES,BOSTON
MARTES,SAN JOSE
MARTES,CENTRO
MARTES,BARRIO SANTA BARBARA
MARTES,CENTRO
MARTES,BARRIO LOS AGUSTINOS
MARTES,BARRIO CHIPRE
MARTES,CIUDADELA HABITACIONAL SIGLO XXI
MARTES,LA LIBERTAD
MARTES,ALGARROBO
MARTES,ALGARROBO
MARTES,ALGARROBO
MARTES,ALGARROBO
MARTES,ALGARROBO
MARTES,CENTRO
MARTES,LA FRAGUA
MARTES,LA FRAGUA
MARTES,POSTOBON
MARTES,SOLIDARIDAD
MARTES,ALAMEDA
MARTES,VILLA DOCENTE
MARTES,CHAMPAGNHA
MARTES,RETIRO BAJO
MARTES,EL CENTRO
MARTES,VEREDA BESITO VOLADO
MARTES,VIA MONTERIA -PLANETA RICA
MARTES,URB. LA COLINA CAMPESTRE I SECTOR E-11
MARTES,CHAPINERO NORTE E-2
MARTES,CHAPINERO NORTE E-2
MARTES,CHAPINERO NORTE E-2
MARTES,ALQUERIA LA FRAGUA E-8
MARTES,NICOLAS DE FEDERMAN E-13
MARTES,GUSTAVO RESTREPO E-18
MARTES,VENECIA E-6
MARTES,CHICO NORTE II SECTOR E-1
MARTES,SAN ANTONIO E-15
MARTES,EL RINCON E-11
MARTES,LOS CEDRITOS E-1
MARTES,VILLA MAYOR E-15
MARTES,CENTRO
MARTES,31 DE OCTUBRE
MARTES,31 DE OCTUBRE
MARTES,EL CENTRO
MARTES,QUIRINAL
MARTES,LAS  MERCEDES
MARTES,CENTRO
MARTES,VEREDA MATEO RICO
MARTES,CENTRO HISTORICO
MARTES,CENTRO HISTORICO
MARTES,CENTRO
MARTES,MONTECARLO
MARTES,BRISAS DEL GUATIQUIA
MARTES,CENTRO
MARTES,LA ESPERANZA
MARTES,VILLA MELIDA
MARTES,CANAAN
MARTES,LA ESMERALDA
MARTES,CENTRO
MARTES,CENTRO
MARTES,PIAMONTE
MARTES,CENTRO
MARTES,CENTRO
MARTES,MONTECARLO
MARTES,GAVIOTAS
MARTES,CENTRO
MARTES,VEREDA APIAY
MARTES,20 DE JULIO
MARTES,CENTRO
MARTES,SAN FELIPE
MARTES,CENTRO
MARTES,20 DE JULIO
MARTES,20 DE JULIO
MARTES,CENTRO
MARTES,OBRERO
MARTES,SANTANDER
MARTES,CENTRO
MARTES,EMILIO BOTERO
MARTES,SAN ANDRES
MARTES,CENTRO
MARTES,CENTRO
MARTES,PANORAMICO I ETAPA
MARTES,CENTRO
MARTES,BARRIO CALLEJON
MARTES,BARRIO BELLAVISTA
MARTES,SUBESTACION SAN JUAN DE VILLALOBOS
MARTES,EL CENTRO
MARTES,NUEVA ARMENIA
MARTES,ACACIAS
MARTES,BOSQUES DE PINARES
MARTES,CENTRO
MARTES,BUENOS AIRES
MARTES,SAGUANES
MARTES,SAN DIEGO
MARTES,BAYRON GAVIRIA
MARTES,TURIN
MARTES,VDA. EL MANZANO
MARTES,SANTA TERESITA
MARTES,SECTOR PARQUE EL LAGO
MARTES,ALFONSO LOPEZ
MARTES,B. SAN FRANCISCO
MARTES,GALAN GOMEZ
MARTES,NARINHO
MARTES,NARINHO
MARTES,CENTRO
MARTES,CLAVERIANO
MARTES,RONDON
MARTES,ASOBETANIA
MARTES,VILLA ANGELICA
MARTES,KENEDY
MARTES,CENTRO
MARTES,JARDIN II ETAPA
MARTES,JORDAN MUTIFAMILIARES
MARTES,ONZAGA
MARTES,LA MANSION
MARTES,KENEDY
MARTES,MACARENA ALTA
MARTES,EL JORDAN
MARTES,LOS LAGOS E13
MARTES,MORICHAL DE COMFANDI E15
MARTES,SAN LUIS E6
MARTES,CRISTOBAL COLON E10
MARTES,PARCELACIONES PANCE E22
MARTES,ALAMEDA E9
MARTES,PARCELACIONES PANCE E22
MARTES,ALFONSO BARBERENA E12
MARTES,EL INGENIO E17
MARTES,ALFONSO B. ARAGON E14
MARTES,SAN FERNANDO VIEJO E19
MARTES,EL SENA E5
MARTES,PARCELACIONES PANCE E22
MARTES,PRIMERO DE MAYO E17
MARTES,PANAMERICANO (23-2)
MARTES,VIA CENCAR - AEREOPUERTO
MARTES,FRANCISCANOS
MARTES,LAS DELICIAS
MARTES,VIA YUMBO DAPA (25-8)
MARTES,VIA YUMBO DAPA (25-8)
MARTES,BELALCAZAR E25
MIERCOLES,SIMON BOLIVAR
MIERCOLES,CENTRO (LETICIA)
MIERCOLES,PARQUE PRINCIPAL
MIERCOLES,LA MADERA
MIERCOLES,SANTA MARIA # 3
MIERCOLES,LA CIUDADELA
MIERCOLES,LA CIUDADELA
MIERCOLES,CAMPO VALDES 1  C-4
MIERCOLES,LA CANDELARIA C-10
MIERCOLES,ARANJUEZ  C-4
MIERCOLES,BARRIO COLOMBIA C-14
MIERCOLES,CERRO EL VOLADOR C-7
MIERCOLES,ENCISO C-8
MIERCOLES,PROGRESO 2 C-6
MIERCOLES,VILLANUEVA C-10
MIERCOLES,PRADO C-10
MIERCOLES,SEVILLA  C-4
MIERCOLES,EL DIAMANTE C-7
MIERCOLES,LA PINHUELA  C-4
MIERCOLES,EL TESORO C-14
MIERCOLES,CONQUISTADORES C-11
MIERCOLES,LAURELES C-11
MIERCOLES,PRADO C-10
MIERCOLES,LA CASTELLANA C-11
MIERCOLES,LA CANDELARIA C-10
MIERCOLES,MANILA C-14
MIERCOLES,NARANJAL C-11
MIERCOLES,PRADO C-10
MIERCOLES,SEVILLA  C-4
MIERCOLES,LA CANDELARIA C-10
MIERCOLES,BOMBONA 1 C-10
MIERCOLES,SEVILLA  C-4
MIERCOLES,REMANSOS
MIERCOLES,TABLAZO
MIERCOLES,TABLAZO
MIERCOLES,LAS CABANHAS
MIERCOLES,EL ROSARIO
MIERCOLES,LA VICTORIA
MIERCOLES,CENTRO
MIERCOLES,7 DE ABRIL
MIERCOLES,CENTRO
MIERCOLES,VDA. RESGUARDO
MIERCOLES,PLAZA DE TOROS
MIERCOLES,ONDAS DE OTUN
MIERCOLES,FUNDADORES
MIERCOLES,ARBOLEDA
MIERCOLES,CENTRO
MIERCOLES,SECTOR EL CABLE
MIERCOLES,EL PORVENIR
MIERCOLES,LA VEGA
MIERCOLES,RICAURTE
MIERCOLES,TORASSO
MIERCOLES,TORASSO
MIERCOLES,CENTRO
MIERCOLES,OLAYA HERRERA
MIERCOLES,EL CARMEN
MIERCOLES,FERIA GANADERA
MIERCOLES,ZONA MINERA
MIERCOLES,JULIO FIGUEROA VILLA
MIERCOLES,VEREDA SANTA ANA
MIERCOLES,LAS AGUAS E-17
MIERCOLES,URB. PALENQUE E-8
MIERCOLES,TEUSAQUILLO E-13
MIERCOLES,VILLA NELLY E-8
MIERCOLES,GALERIAS E-13
MIERCOLES,LA MACARENA E-3
MIERCOLES,PASADENA ROYAL E-11
MIERCOLES,LA CASTELLANA E-12
MIERCOLES,LA CASTELLANA E-12
MIERCOLES,CIUDAD JARDIN SUR E-15
MIERCOLES,BILBAO E-11
MIERCOLES,ESTADOS UNIDOS   E-8
MIERCOLES,IBERIA E-11
MIERCOLES,CHICO NORTE I E-2
MIERCOLES,SUBA CENTRO E-11
MIERCOLES,GUSTAVO RESTREPO E-18
MIERCOLES,EL PLAYON - LA PLAYITA III E-18
MIERCOLES,ENTRERIOS E-12
MIERCOLES,QUIRIGUA I E-10
MIERCOLES,"LA SOLEDAD, SAN JOSE NORTE E-10"
MIERCOLES,BOSQUES DE SAN JOSE E-18
MIERCOLES,VILLA CLEMENCIA E-7
MIERCOLES,EL RECREO E-7
MIERCOLES,LAS MARGARITAS E-7
MIERCOLES,CENTRO
MIERCOLES,CENTRO
MIERCOLES,EL CARMEN
MIERCOLES,EL CARMEN
MIERCOLES,LA VICTORIA
MIERCOLES,RAFAEL AZUERO MANCHOLA
MIERCOLES,LUIS CARLOS GALAN ETAPA I
MIERCOLES,ENRIQUE OLAYA HERRERA
MIERCOLES,VILLA MELIDA
MIERCOLES,RELIQUIA
MIERCOLES,BARZAL BAJO
MIERCOLES,DONHA LUZ
MIERCOLES,REMANSO
MIERCOLES,VILLA JULIA
MIERCOLES,LLANO LINDO
MIERCOLES,JORDAN
MIERCOLES,ESTERO
MIERCOLES,CAMINO REAL
MIERCOLES,MACUNAIMA
MIERCOLES,COMUNEROS
MIERCOLES,ESTERO
MIERCOLES,SANTANDER
MIERCOLES,CENTRO
MIERCOLES,GOLGOTA
MIERCOLES,OBRERO
MIERCOLES,20 DE JULIO
MIERCOLES,LORENZO
MIERCOLES,LORENZO
MIERCOLES,MORASURCO
MIERCOLES,SAN JUAN BOSCO
MIERCOLES,CENTRO
MIERCOLES,CENTRO
MIERCOLES,CENTRO
MIERCOLES,AV. CHAMPAGNAT
MIERCOLES,CENTRO
MIERCOLES,NIZA III
MIERCOLES,ESTADIO LIBERTAD
MIERCOLES,LORENZO
MIERCOLES,PLAZA DEL CARNAVAL
MIERCOLES,CENTRO
MIERCOLES,CENTRO
MIERCOLES,CENTRO
MIERCOLES,EL MORRO
MIERCOLES,SAN JUAN
MIERCOLES,BARRIO LOS PINOS
MIERCOLES,BARRIO LA PLAYA
MIERCOLES,BARRIO SAN JOSE
MIERCOLES,BARRIO LA LIBERTAD
MIERCOLES,BARRIO SIMON BOLIVAR
MIERCOLES,BARRIO CENTRO
MIERCOLES,PABLO VI
MIERCOLES,CENTRO
MIERCOLES,CIUDADELA UNIVERSITARIA
MIERCOLES,PERPETUO SOCORRO
MIERCOLES,SAN FERNANDO
MIERCOLES,MIRAFLORES BAJO
MIERCOLES,ZONA CENTRO
MIERCOLES,PLAZOLETA LA VILLA
MIERCOLES,LOS NARANJOS
MIERCOLES,VILLAVICENCIO
MIERCOLES,SECTOR AV 30 AGO ENTRE CL 37 Y 41
MIERCOLES,SECTOR COMERCIAL
MIERCOLES,SANTA ISABEL
MIERCOLES,LA ESPERANZA
MIERCOLES,JARDINES DE COAVICONSA
MIERCOLES,NUEVO SOTOMAYOR
MIERCOLES,SAN RAFAEL
MIERCOLES,SAN FRANCISCO
MIERCOLES,KENNEDY
MIERCOLES,LA PAZ E2
MIERCOLES,BUCARAMANGA
MIERCOLES,LAGOS I
MIERCOLES,HACIENDA SAN JUAN
MIERCOLES,CONVIVIR
MIERCOLES,CENTRO P/TA
MIERCOLES,EL PROGRESO
MIERCOLES,ESPANHA
MIERCOLES,HACIENDA PIEDRAPINTADA
MIERCOLES,EL CARMEN
MIERCOLES,ESTACION
MIERCOLES,CADIZ
MIERCOLES,TOLIMA GRANDE
MIERCOLES,JORDAN MUTIFAMILIARES
MIERCOLES,SANTA RITA
MIERCOLES,CENTRO
MIERCOLES,VERSALLES E2
MIERCOLES,CIUDAD CAPRI E17
MIERCOLES,LOS LAGOS E13
MIERCOLES,PRADOS DEL NORTE E2
MIERCOLES,CGTO LA VORAGINE E22
MIERCOLES,PRADOS DEL NORTE E2
MIERCOLES,LOS LAGOS E13
MIERCOLES,VALLE GRANDE E21
MIERCOLES,VILLA DEL LAGO E13
MIERCOLES,ALTAMIRA
MIERCOLES,CENTRAL
MIERCOLES,LAS FLORES
MIERCOLES,CAMILO CORTEZ
JUEVES,MARCELIANO CANYES
JUEVES,EL CAUNZAL
JUEVES,MANZANAREZ
JUEVES,CIUDADELA DEL NORTE
JUEVES,CIUDADELA DEL NORTE
JUEVES,CIUDADELA DEL NORTE
JUEVES,BRISAS DE URABA
JUEVES,LA MINA
JUEVES,SAN JOSE
JUEVES,CENTRO
JUEVES,TRIANA
JUEVES,SANTA MARIA # 3
JUEVES,EL DORADO
JUEVES,SEVILLA  C-4
JUEVES,LAURELES C-11
JUEVES,JARDIN BOTANICO  C-4
JUEVES,LOS CERROS EL VERGEL  C-9
JUEVES,ASTORGA C-14
JUEVES,LA FRANCIA  C-2
JUEVES,PRADO C-10
JUEVES,VILLANUEVA C-10
JUEVES,LOS PINOS C-12
JUEVES,ESTACION VILLA C-10
JUEVES,CORDOBA C-7
JUEVES,VILLANUEVA C-10
JUEVES,LA CANDELARIA C-10
JUEVES,LA CANDELARIA C-10
JUEVES,EL POBLADO C-14
JUEVES,ROSALES C-16
JUEVES,DON BOSCO
JUEVES,SAN ROQUE
JUEVES,EL RECREO
JUEVES,CENTRO
JUEVES,SILENCIO
JUEVES,CENTRO
JUEVES,REBOLO
JUEVES,CIUDADELA 20 DE JULIO
JUEVES,BARRIO BOYACA ALTO
JUEVES,SANTANDER
JUEVES,BARRIO CENTRO
JUEVES,SEVILLA
JUEVES,VILLA UNIVERSITARIA
JUEVES,CENTRO
JUEVES,VDA PURNIO
JUEVES,SECTOR EL CABLE
JUEVES,SECTOR EL CABLE
JUEVES,CENTRO
JUEVES,SECTOR BELLAS ARTES
JUEVES,CENTRO
JUEVES,SECTOR EL CABLE
JUEVES,CENTRO
JUEVES,CENTRO
JUEVES,SECTOR EL CABLE
JUEVES,SECTOR EL CABLE
JUEVES,EL RAICERO
JUEVES,VILLAMONICA
JUEVES,EL CENTRO
JUEVES,VILLA MARIA
JUEVES,LUIS MARIA JIMENEZ
JUEVES,HOBO
JUEVES,LOS ALMENDROS
JUEVES,LOS ALMENDROS
JUEVES,URBANIZACION PERPETUO SOCORRO
JUEVES,VEREDA
JUEVES,GALAN
JUEVES,URB. LA RIVIERA
JUEVES,CHUCHURUBI
JUEVES,SIMON BOLIVAR
JUEVES,LA ESTRADA E-10
JUEVES,LOS CEDRITOS E-1
JUEVES,LA CAPUCHINA E-3
JUEVES,RESTREPO E-15
JUEVES,LA GIRALDA E-9
JUEVES,LAGO GAITAN E-2
JUEVES,LAS DELICIAS   E-8
JUEVES,NIZA XII E-11
JUEVES,SANTA MATILDE I SECTOR E-16
JUEVES,SAMPER E-3
JUEVES,BOSQUE CALDERON E-2
JUEVES,POLO CLUB E-12
JUEVES,SANTA ISABEL E-14
JUEVES,PATIO BONITO I E-8
JUEVES,SAN ANTONIO E-15
JUEVES,CHICO I E-2
JUEVES,EL CENTENARIO E-18
JUEVES,TINTAL    E-8
JUEVES,VILLA DEL RINCON E-11
JUEVES,CENTRO ANTONIO NARINHO E-13
JUEVES,VENECIA E-6
JUEVES,QUIROGA IHS ETAPA E-18
JUEVES,CHAPINERO CENTRAL E-2
JUEVES,URB. MANUELA BELTRAN E-19
JUEVES,URB. LA PUERTA DEL SOL E-11
JUEVES,CHICO I E-2
JUEVES,MARIA PAZ E-8
JUEVES,CHICO NAVARRA E-1
JUEVES,URB. CLARET EL CARMEN E-6
JUEVES,MARIA PAZ E-8
JUEVES,LAS MARGARITAS E-8
JUEVES,QUIROGA VII ETAPA E-18
JUEVES,GALAN
JUEVES,CENTRO
JUEVES,BARRIO LA ESPERANZA
JUEVES,URBANIZACION EL TESORO
JUEVES,URBANIZACION EL TESORO
JUEVES,SAN FRANCISCO DE ASIS
JUEVES,SAN FRANCISCO DE ASIS
JUEVES,RAFAEL AZUERO MANCHOLA
JUEVES,SUCRE
JUEVES,LOS PINOS
JUEVES,TEYUNA
JUEVES,DON DIEGO
JUEVES,CENTRO
JUEVES,RODADERO TRADICIONAL
JUEVES,CENTRO
JUEVES,VEREDA BARCELONA
JUEVES,COMUNEROS
JUEVES,LA ESPERANZA VII ETAPA
JUEVES,CAUDAL ORIENTAL
JUEVES,PORVENIR
JUEVES,CAMINO REAL
JUEVES,GUATIQUIA
JUEVES,MONTECARLO
JUEVES,20 DE JULIO
JUEVES,YERBABUENA
JUEVES,AVENIDA PANAMERICANA
JUEVES,CENTRO
JUEVES,CRUZ VERDE
JUEVES,CRUZ VERDE
JUEVES,OBRERO
JUEVES,AVENIDA PANAMERICANA
JUEVES,LORENZO
JUEVES,MARILUZ
JUEVES,MIRAFLORES I
JUEVES,LA AURORA
JUEVES,CHAPAL
JUEVES,BARRIO QUINTA VELEZ
