MUNICIPIO,BARRIO
MANIZALES (CT),LA LINDA
FLORENCIA (CT),CIUDADELA HABITACIONAL SIGLO XXI
FLORENCIA (CT),ABBAS TURBAY
YOPAL (CT),CASIQUIARE
YOPAL (CT),PROGRESO II
YOPAL (CT),PROGRESO II
YOPAL (CT),LA CAMPINHA
POPAYAN (CT),JOSE MARIA OBANDO
POPAYAN (CT),EL EMPEDRADO
POPAYAN (CT),RETIRO BAJO
AGUSTIN CODAZZI,NUEVA ESPERANZA
AGUSTIN CODAZZI,NUEVA ESPERANZA
VALLEDUPAR (CT),CHIRIQUI
VALLEDUPAR (CT),LA VICTORIA
MONTERIA (CT),NUEVA BELEN
MONTERIA (CT),SANTA ELENA
BOGOTA D.C. (CT),CHAPINERO NORTE E-2
BOGOTA D.C. (CT),VILLA MARIA II E-11
BOGOTA D.C. (CT),PATIO BONITO I E-8
BOGOTA D.C. (CT),CHICO I E-2
BOGOTA D.C. (CT),SANTA ROSA E-10
BOGOTA D.C. (CT),LA CALLEJA E-1
BOGOTA D.C. (CT),MOLINOS DEL SUR E-18
BOGOTA D.C. (CT),URB. VILLA ALSACIA E-8
BOGOTA D.C. (CT),LA SERENA E-10
BOGOTA D.C. (CT),GUSTAVO RESTREPO E-18
BOGOTA D.C. (CT),LA VICTORIA E-4
BOGOTA D.C. (CT),SANTA ROSA E-10
BOGOTA D.C. (CT),LAS AGUAS E-3
BOGOTA D.C. (CT),PARQUE EL TUNAL E-6
BOGOTA D.C. (CT),LA CANDELARIA E-17
BOGOTA D.C. (CT),VEINTE DE JULIO E-4
BOGOTA D.C. (CT),LAS AMERICAS E-8
BOGOTA D.C. (CT),GORGONZOLA E-16
BOGOTA D.C. (CT),SANTA BARBARA CENTRAL E-1
BOGOTA D.C. (CT),EL RETIRO E-2
BOGOTA D.C. (CT),PUENTE GRANDE E-9
BOGOTA D.C. (CT),SANTA FE E-14
BOGOTA D.C. (CT),EL RETIRO E-2
BOGOTA D.C. (CT),PIAMONTE E-7
BOGOTA D.C. (CT),QUINTA RAMOS E-4
BOGOTA D.C. (CT),ARMENIA E-13
BOGOTA D.C. (CT),LA CALLEJA E-1
BOGOTA D.C. (CT),SAN JORGE E-18
BOGOTA D.C. (CT),TEQUENDAMA   E-8
BOGOTA D.C. (CT),VENECIA E-6
BOGOTA D.C. (CT),CIUDAD SALITRE E-9
BOGOTA D.C. (CT),SAN BERNARDINO E-7
BOGOTA D.C. (CT),JORGE GAITAN CORTES E-16
BOGOTA D.C. (CT),NORMANDIA E-10
RIOHACHA (CT),CENTRO
RIOHACHA (CT),URB. MAJAYURA I ETAPA
NEIVA (CT),MIRA RIO ETAPA I
NEIVA (CT),MIRA RIO ETAPA I
NEIVA (CT),ESTADIO DE FUTBOL
NEIVA (CT),LOS ALMENDROS
NEIVA (CT),VILLA COLOMBIA
PITALITO,CENTRO
SANTA MARTA (CT),PASTRANA
SANTA MARTA (CT),BALCONES DEL LIBERTADOR
SANTA MARTA (CT),MARIA EUGENIA
VILLAVICENCIO (CT),SAN ANTONIO
VILLAVICENCIO (CT),7 DE AGOSTO
VILLAVICENCIO (CT),MACARENA
VILLAVICENCIO (CT),MACARENA
VILLAVICENCIO (CT),LA ESPERANZA
PASTO (CT),AV. CHAMPAGNAT
PASTO (CT),LA AURORA
PASTO (CT),AV. LAS AMERICAS
PASTO (CT),LAS CUADRAS
CUCUTA (CT),BARRIO LA PLAYA
ARMENIA (CT),LAS COLINAS
CIRCASIA,PARQUE PRINCIPAL
PEREIRA (CT),BERLIN
PEREIRA (CT),EL ESTADIO
PEREIRA (CT),COROCITO
PEREIRA (CT),COROCITO
PEREIRA (CT),SECTOR GALERIA CENTRAL
SAN ANDRES (CT),BARRIO SARIE BAY
BUCARAMANGA (CT),PROVENZA
BUCARAMANGA (CT),LA SALLE
BUCARAMANGA (CT),GRANADA
BUCARAMANGA (CT),URB. CIUDAD BOLIVAR
BUCARAMANGA (CT),PROVENZA
BUCARAMANGA (CT),CENTRO
FLORIDABLANCA,CASCO ANTIGUO DE FLORIDABLANCA
FLORIDABLANCA,URB. TORRES DE SEVILLA
GIRON,PORTAL CAMPESTRE
GIRON,VILLA DE DON JUAN I
SINCELEJO (CT),BOGOTA
SINCELEJO (CT),LAS CANARIAS
IBAGUE (CT),PRADOS DEL NORTE
IBAGUE (CT),PRADOS DEL NORTE
IBAGUE (CT),NUEVO ARMERO
IBAGUE (CT),BELEN
IBAGUE (CT),PIJAO
IBAGUE (CT),LA GAVIOTA
IBAGUE (CT),JORDAN II ETAPA
IBAGUE (CT),EL SALADO
IBAGUE (CT),MIROLINDO
IBAGUE (CT),VILLA DEL SOL
IBAGUE (CT),JORDAN IV ETAPA
CALI (CT),LAS ACACIAS E10
CALI (CT),PRIMAVERA E11
CALI (CT),SAN LUIS II E6
CALI (CT),LOS NARANJOS II E14
CALI (CT),PROMOCIONES POPULARES E14
CALI (CT),JOSE M. MARROQUIN II E14
CALI (CT),LOS LAGOS E13
CALI (CT),EL PILOTO E3
CALI (CT),EL PRADO E11
CALI (CT),LOS LAGOS E13
CALI (CT),GRANADA E2
CALI (CT),COMPARTIR E21
CALI (CT),GRANADA E2
CALI (CT),SAN FERNANDO NUEVO E19
CALI (CT),SAN FERNANDO NUEVO E19
CALI (CT),EL INGENIO E17
CALI (CT),UNID. A GALINDO PLAZA TOROS E19
CALI (CT),UNID. A GALINDO PLAZA TOROS E19
CALI (CT),LAS DELICIAS E4
CALI (CT),ALAMEDA E9
CALI (CT),LILI E17
CALI (CT),EL RETIRO E15
GUADALAJARA DE BUGA,CORR. SANJON HONDO
GUADALAJARA DE BUGA,RICAUTE
PALMIRA,LIBERTADORES
TULUA,EL PRINCIPE
ZARZAL,SAN RAFAEL
BELLO,LA MILAGROSA
BELLO,NIQUIA CAMACOL
BELLO,ALTOS DE NIQUIA
COPACABANA,MACHADO
GIRARDOTA,JUAN XXIII
GUARNE,AUTOPISTA MEDELLIN-BOGOTA
ITAGUI,SAN FRANCISCO
LA ESTRELLA,ANCON
MEDELLIN (CT),PRADO C-10
MEDELLIN (CT),LA CANDELARIA C-10
MEDELLIN (CT),CARIBE C-5
MEDELLIN (CT),GIRARDOT C-5
MEDELLIN (CT),CASTILLA C-5
MEDELLIN (CT),CONQUISTADORES C-11
MEDELLIN (CT),CARIBE C-5
MEDELLIN (CT),GUAYAQUIL C-10
MEDELLIN (CT),SAN LORENZO  S.A.P.
MEDELLIN (CT),ALFONSO LOPEZ C-5
MEDELLIN (CT),VDA. BELLAVISTA S.C.
MEDELLIN (CT),BOSTON C-10
MEDELLIN (CT),EL CHAGUALO C-10
MEDELLIN (CT),BOLIVARIANA C-11
MEDELLIN (CT),GIRARDOT C-5
MEDELLIN (CT),PRADO C-10
MEDELLIN (CT),ESTADIO C-11
MEDELLIN (CT),BARRIO CRISTOBAL C-12
RIONEGRO,EL PORVENIR
RIONEGRO,EL PORVENIR
SABANETA,VIRGEN DEL CARMEN
BARRANQUILLA (CT),CIUDAD JARDIN
BARRANQUILLA (CT),LAS MALVINAS
BARRANQUILLA (CT),BUENA ESPERANZA
BARRANQUILLA (CT),LAS PALMAS
SABANALARGA,CENTRO
CARTAGENA (CT),NARINHO
MOMPOS,SECTOR LA HOYO
TUNJA (CT),BARRIO EL CURUBAL
TUNJA (CT),BARRIO EL CURUBAL
TUNJA (CT),BARRIO EL CURUBAL
TUNJA (CT),BARRIO EL CURUBAL
TUNJA (CT),BARRIO EL CURUBAL
TUNJA (CT),BARRIO EL CURUBAL
TUNJA (CT),BARRIO EL CURUBAL
TUNJA (CT),BARRIO EL CURUBAL
TUNJA (CT),BARRIO LOS CRISTALES
MANIZALES (CT),CRISTO REY
MANIZALES (CT),CRISTO REY
MANIZALES (CT),BETANIA
FLORENCIA (CT),CIRCACIA
FLORENCIA (CT),SAN FRANCISCO
SANTA MARTA (CT),BURECHITO
YOPAL (CT),VILLA LUCIA
YOPAL (CT),LA FLORESTA
YOPAL (CT),INV. NUEVO MILENIO
PATIA,LA UNION
POPAYAN (CT),LICEO
POPAYAN (CT),ALFONSO LOPEZ
SANTANDER DE QUILICHAO,CENTRO
VALLEDUPAR (CT),12 DE OCTUBRE
VALLEDUPAR (CT),CENTRO
VALLEDUPAR (CT),7 DE AGOSTO
VALLEDUPAR (CT),DANGON
MONTERIA (CT),COSTA DE ORO
BOGOTA D.C. (CT),VOTO NACIONAL E-14
BOGOTA D.C. (CT),SANTA ISABEL E-14
BOGOTA D.C. (CT),SANTA ISABEL SUR E-14
BOGOTA D.C. (CT),PIO X KENNEDY E-8
BOGOTA D.C. (CT),CARVAJAL E-8
BOGOTA D.C. (CT),CEDRO SALAZAR E-1
BOGOTA D.C. (CT),CARVAJAL E-8
BOGOTA D.C. (CT),CHAPINERO CENTRAL E-2
BOGOTA D.C. (CT),EL RODEO E-4
BOGOTA D.C. (CT),LA CALLEJA E-1
BOGOTA D.C. (CT),PORTALES DEL NORTE E-11
BOGOTA D.C. (CT),CHAPINERO CENTRAL E-2
BOGOTA D.C. (CT),CIUDAD BOGOTA E-19
BOGOTA D.C. (CT),URB. MIRANDELA E-11
BOGOTA D.C. (CT),NUEVO HORIZONTE E-1
BOGOTA D.C. (CT),SAN VICTORINO E-3
BOGOTA D.C. (CT),BANDERAS E-8
BOGOTA D.C. (CT),BELLA SUIZA E-1
BOGOTA D.C. (CT),CHICO I E-2
BOGOTA D.C. (CT),SAN JOSE SPRING E-11
BOGOTA D.C. (CT),CENTRO ADMINISTRATIVO E-17
BOGOTA D.C. (CT),CHICO NORTE I E-2
BOGOTA D.C. (CT),LAURELES LA ESTACION E-7
BOGOTA D.C. (CT),VILLA MAYOR E-15
BOGOTA D.C. (CT),LAS NIEVES E-3
BOGOTA D.C. (CT),LOS NARANJOS E-7
BOGOTA D.C. (CT),SANTIAGO DE LAS ATALAYAS E-7
BOGOTA D.C. (CT),CHAPINERO CENTRAL E-2
BOGOTA D.C. (CT),CHAPINERO ALTO E-2
BOGOTA D.C. (CT),CASTILLA LA NUEVA E-8
BOGOTA D.C. (CT),QUIROGA IHS ETAPA E-18
BOGOTA D.C. (CT),VILLA HERMOSA E-11
BOGOTA D.C. (CT),SANTA MATILDE I SECTOR E-16
BOGOTA D.C. (CT),BELLA VISTA SUR E-4
BOGOTA D.C. (CT),LUCERO BAJO E-19
MAICAO,LOMA FRESCA
RIOHACHA (CT),CIUDADELA EL DIVI DIVI
RIOHACHA (CT),JORGE PEREZ
NEIVA (CT),LOS CAMBULOS
NEIVA (CT),EL PROGRESO
NEIVA (CT),PRIMERO DE MAYO
NEIVA (CT),PRIMERO DE MAYO
NEIVA (CT),PRIMERO DE MAYO
NEIVA (CT),GUALANDAY ETAPA I
PITALITO,PORVENIR
PITALITO,CIUDAD LABOYOS
PITALITO,MADELENA
CIENAGA,OLIVO
CIENAGA,OLIVO
CIENAGA,OLIVO
SANTA MARTA (CT),SAN FRANCISCO
SANTA MARTA (CT),TAGANGA
SANTA MARTA (CT),SIMON BOLIVAR
VILLAVICENCIO (CT),TORRES DE SAN JUAN
VILLAVICENCIO (CT),JORDAN
VILLAVICENCIO (CT),EL DARIEN
VILLAVICENCIO (CT),VILLA JULIA
GUAITARILLA,CALLE EL SOL
PASTO (CT),SENDOYA
PASTO (CT),AVENIDA COLOMBIA NORMANDIA
PASTO (CT),CENTRO
PASTO (CT),VILLA FLOR I
PASTO (CT),ESTADIO LIBERTAD
CUCUTA (CT),BARRIO SAN LUIS
CUCUTA (CT),BARIO LA RIVIERA
CUCUTA (CT),BARRIO ZULIMA
CUCUTA (CT),BARRIO GUAIMARAL
CUCUTA (CT),BARRIO SIETE DE AGOSTO
CUCUTA (CT),BARRIO CUNDINAMARCA
PAMPLONA,BARRIO SAN IGNACIO
VILLA DEL ROSARIO,BARRIO SANTANDER
VILLA DEL ROSARIO,BARRIO SANTANDER
ORITO,LA FLORESTA
ARMENIA (CT),COOPERATIVO
DOSQUEBRADAS,LA PRADERA
DOSQUEBRADAS,EL PROGRESO
GUATICA,CORREGIMIENTO SAN CLEMENTE
PEREIRA (CT),SECTOR PLAZA DE BOLIVAR
PEREIRA (CT),SAN JOAQUIN
PEREIRA (CT),CUBA V-8
PEREIRA (CT),SECTOR PUENTES DE LA 9A CON 12
PEREIRA (CT),MONSERRATE
PEREIRA (CT),PARQUE OLAYA HERRERA
PEREIRA (CT),INTERMEDIO (V/SANTANA)
PEREIRA (CT),AMERICA
SAN ANDRES (CT),BARRIO LA PAZ
SAN ANDRES (CT),PERRY HILL
BARRANCABERMEJA,MARIA EUGENIA
BARRANCABERMEJA,MIRADORES DEL CACIQUE
BUCARAMANGA (CT),MIRAFLORES
BUCARAMANGA (CT),REGADERO NORTE
BUCARAMANGA (CT),LA AURORA
BUCARAMANGA (CT),LA JUVENTUD
BUCARAMANGA (CT),LA SALLE
BUCARAMANGA (CT),TERRAZAS
BUCARAMANGA (CT),LA VICTORIA
FLORIDABLANCA,EL RECREO
FLORIDABLANCA,CARACOLI
GIRON,EL PARAISO
SINCELEJO (CT),VILLA  MADY
SINCELEJO (CT),LA ESPERANZA
GUAMO,PABLO VI
IBAGUE (CT),LIBERTADOR
IBAGUE (CT),ESTACION
IBAGUE (CT),LAS FERIAS
IBAGUE (CT),AMBALA
IBAGUE (CT),JARDIN I ETAPA
PURIFICACION,VRDA. LA MATA
CALI (CT),EVARISTO GARCIA E4
CALI (CT),CUARTO LEGUA - GUADALUPE E19
CALI (CT),SUCRE E9
CALI (CT),CHIPICHAPE E2
CALI (CT),VALLE GRANDE E21
CALI (CT),SIETE DE AGOSTO E7
CALI (CT),LOS LAGOS E13
CALI (CT),SAN VICENTE E2
CALI (CT),SUCRE E9
CALI (CT),VERSALLES E2
CALI (CT),LAUREANO GOMEZ E15
CALI (CT),LILI E17
CALI (CT),SAN FERNANDO VIEJO E19
CALI (CT),PRADOS DEL NORTE E2
CALI (CT),ANTONIO NARINHO E16
CALI (CT),PRADOS DE ORIENTE E11
CALI (CT),VILLACOLOMBIA E8
CALI (CT),LA RIVERA I E6
CALI (CT),LAS DELICIAS E4
CALI (CT),BELALCAZAR E9
CALI (CT),VERSALLES E2
CALI (CT),URB. TEQUENDAMA E19
CALI (CT),BUENOS AIRES E18
CALI (CT),SAN PASCUAL E3
CALI (CT),SAN PEDRO CLAVER E11
CALI (CT),SANTA MONICA RESIDENCIAL E2
GUADALAJARA DE BUGA,SAN ANTONIO
LA UNION,VIA LA UNION - VERSALLES
LA UNION,VIA LA UNION - VERSALLES
PALMIRA,CIUDAD DEL CAMPO
PALMIRA,LORETO
PALMIRA,SIMON BOLIVAR
BELLO,CIUDAD NIQUIA
BELLO,LA CABANHA
CAREPA,MARIA CANO
ENVIGADO,ALCALA
ENVIGADO,EL PORTAL
HISPANIA,LA CANCHA
ITAGUI,PLAYA RICA
MEDELLIN (CT),MORAVIA  C-4
MEDELLIN (CT),LOS BALSOS 1 C-14
MEDELLIN (CT),LA CANDELARIA C-10
MEDELLIN (CT),LA CANDELARIA C-10
MEDELLIN (CT),SURAMERICANA C-11
MEDELLIN (CT),SURAMERICANA C-11
MEDELLIN (CT),EL CHAGUALO C-10
MEDELLIN (CT),EL NOGAL. LOS ALMENDROS C-16
MEDELLIN (CT),LA CANDELARIA C-10
MEDELLIN (CT),ESTACION VILLA C-10
MEDELLIN (CT),BARRIO CAYCEDO C-9
MEDELLIN (CT),MORAVIA  C-4
MEDELLIN (CT),NARANJAL C-11
MEDELLIN (CT),PRADO C-10
MEDELLIN (CT),LA MOTA C-16
MEDELLIN (CT),EL CHAGUALO C-10
MEDELLIN (CT),BOSTON C-10
MEDELLIN (CT),LA AGUACATALA C-14
MEDELLIN (CT),LA CANDELARIA C-10
MEDELLIN (CT),LAURELES C-11
MEDELLIN (CT),ROSALES C-16
SABANETA,EL CARMELO I
BARRANQUILLA (CT),SIMON BOLIVAR
MALAMBO,MEZOLANDIA
SOLEDAD,COSTA HERMOSA
CHIQUINQUIRA,BARRIO PRADOS DEL SUR
CHIQUINQUIRA,BARRIO CENTRO
CHIQUINQUIRA,SUCRE
DUITAMA,BARRIO CENTRO
TUNJA (CT),BARRIO LA NIEVES
MANIZALES (CT),SAN SEBASTIAN
MANIZALES (CT),CENTRO
FLORENCIA (CT),EL CENTRO
YOPAL (CT),PROVIVIENDA
POPAYAN (CT),PANDIGUANDO
POPAYAN (CT),PRADOS DEL NORTE
PUERTO TEJADA,LUIS A ROBLES
VALLEDUPAR (CT),CIUDADELA 450 ANHOS
QUIBDO (CT),MIS ESFUERZOS
MONTERIA (CT),P-5
MONTERIA (CT),EL DORADO
BOGOTA D.C. (CT),CIUDAD SALITRE II E-13
BOGOTA D.C. (CT),LA VERACRUZ E-3
BOGOTA D.C. (CT),LA EUROPA E-10
BOGOTA D.C. (CT),SUCRE E-2
BOGOTA D.C. (CT),SANTA TERESITA E-13
BOGOTA D.C. (CT),LA ESPANHOLA E-10
BOGOTA D.C. (CT),AURES II E-11
BOGOTA D.C. (CT),BOSQUE POPULAR E-10
BOGOTA D.C. (CT),BOSQUE POPULAR E-10
BOGOTA D.C. (CT),LA MAGDALENA E-13
BOGOTA D.C. (CT),BRASILIA I SECTOR E-8
BOGOTA D.C. (CT),CIUDAD KENNEDY CENTRAL E-8
BOGOTA D.C. (CT),URB. CARIMAGUA I SECTOR E-8
BOGOTA D.C. (CT),CIUDAD KENNEDY CENTRAL E-8
BOGOTA D.C. (CT),NORMANDIA II SECTOR E-10
BOGOTA D.C. (CT),CIUDAD KENNEDY SUR   E-8
BOGOTA D.C. (CT),VEINTE DE JULIO E-4
BOGOTA D.C. (CT),PABLO VI E-13
BOGOTA D.C. (CT),ALFONSO LOPEZ E-5
BOGOTA D.C. (CT),EL TROPEZON E-7
BOGOTA D.C. (CT),PALOQUEMAO E-14
BOGOTA D.C. (CT),TEUSAQUILLO E-13
BOGOTA D.C. (CT),TEUSAQUILLO E-13
BOGOTA D.C. (CT),SALAMANCA E-9
BOGOTA D.C. (CT),BARRIOS UNIDOS E-12
BOGOTA D.C. (CT),BELLA SUIZA E-1
BOGOTA D.C. (CT),CARVAJAL E-8
BOGOTA D.C. (CT),PALERMO E-13
BOGOTA D.C. (CT),EL TROPEZON E-7
BOGOTA D.C. (CT),PATIO BONITO I E-8
BOGOTA D.C. (CT),LA COLMENA E-4
BOGOTA D.C. (CT),SAN LUIS 20 DE JULIO E-4
BOGOTA D.C. (CT),VISION DE COLOMBIA E-8
BOGOTA D.C. (CT),CHAPINERO ALTO E-2
BOGOTA D.C. (CT),BOLIVIA E-10
BOGOTA D.C. (CT),GRAN GRANADA E-10
BOGOTA D.C. (CT),SAN ISIDRO E-4
BOGOTA D.C. (CT),JOSE JOAQUIN VARGAS E-12
BOGOTA D.C. (CT),SANTA TERESITA E-13
BOGOTA D.C. (CT),PARQUE NACIONAL E-3
BOGOTA D.C. (CT),RICAURTE E-14
BOGOTA D.C. (CT),BACHUE E-10
BOGOTA D.C. (CT),SAN JOSE SUR E-18
BOGOTA D.C. (CT),URB. MADELENA I Y II SECTOR E-19
BOGOTA D.C. (CT),LA FISCALA E-5
BOGOTA D.C. (CT),CHAPINERO CENTRAL E-2
BOGOTA D.C. (CT),PATIO BONITO I E-8
BOGOTA D.C. (CT),SAN DIEGO E-3
BOGOTA D.C. (CT),PUENTE LARGO E-11
BOGOTA D.C. (CT),MARLY E-2
BOGOTA D.C. (CT),SANTA FE E-14
BOGOTA D.C. (CT),CHAPINERO CENTRAL E-2
BOGOTA D.C. (CT),QUINTA CAMACHO E-2
BOGOTA D.C. (CT),NUEVA GRANADA II SECTOR E-7
BOGOTA D.C. (CT),GALAN E-16
BOGOTA D.C. (CT),UNICENTRO E-1
BOGOTA D.C. (CT),LA CHUCUA NORTE E-11
BOGOTA D.C. (CT),ALHAMBRA SECTOR NORTE E-11
BOGOTA D.C. (CT),POLO CLUB E-12
BOGOTA D.C. (CT),PIAMONTE E-7
BOGOTA D.C. (CT),LOURDES E-2
FUSAGASUGA,LOS GIRASOLES
GIRARDOT,MAGDALENA
FONSECA,VILLA JARDIN
NEIVA (CT),SEVILLA
NEIVA (CT),CENTRO
NEIVA (CT),MONSERRATE
NEIVA (CT),CENTRO
NEIVA (CT),TUQUILA
PITALITO,LA GAITANA
PITALITO,CALAMO
PITALITO,PARAISO
FUNDACION,CENTRO (C-1)
FUNDACION,CENTRO (C-1)
FUNDACION,URB. ALAMEDA (C-3)
SANTA MARTA (CT),CISNE
SANTA MARTA (CT),VILLA BELLA
ACACIAS,LA INDEPENDENCIA
VILLAVICENCIO (CT),ANTONIO V/CIO
VILLAVICENCIO (CT),JORDAN
VILLAVICENCIO (CT),ESTERO
VILLAVICENCIO (CT),ESTERO
VILLAVICENCIO (CT),MANANTIAL
VILLAVICENCIO (CT),GAVIOTAS
VILLAVICENCIO (CT),SAN CARLOS
VILLAVICENCIO (CT),CENTRO
VILLAVICENCIO (CT),BARZAL ALTO
PASTO (CT),LAS MERCEDES
PASTO (CT),LORENZO
PASTO (CT),FATIMA
PASTO (CT),FATIMA
CUCUTA (CT),BARRIO CARORA
ARMENIA (CT),CANCHAS SITETICAS CAMP NOU
DOSQUEBRADAS,VDA. GAITAN
PEREIRA (CT),SECTOR PARQUE LA LIBERTAD
PEREIRA (CT),SECTOR PUENTES DE LA 9A CON 12
PEREIRA (CT),P.INDUSTRIAL A
PEREIRA (CT),MAYORCA
BARBOSA,EL CENTRO
BUCARAMANGA (CT),LA UNIVERSIDAD
BUCARAMANGA (CT),MEJORAS PUBLICAS
BUCARAMANGA (CT),TOLEDO PLATA
FLORIDABLANCA,SANTA ANA
FLORIDABLANCA,ESCOFLOR
FLORIDABLANCA,VDA. VERICUTE
FLORIDABLANCA,CANHAVERAL PLAZA
GIRON,ELOY VALENZUELA
PIEDECUESTA,VDA. EL VOLADOR
COROZAL,11 DE NOVIEMBRE
SINCELEJO (CT),DIVINO  SALVADOR
SINCELEJO (CT),URB. CENTRAL
IBAGUE (CT),LA PAZ
IBAGUE (CT),INTERLAKEN
IBAGUE (CT),MODELIA
IBAGUE (CT),RESERVAS DEL JARDIN
RIOBLANCO,LA ESPERANZA
CALI (CT),MOJICA E15
CALI (CT),REPUBLICA ISRAEL E16
CALI (CT),EL PENHON E3
CALI (CT),SILOE E20
CALI (CT),VILLA DEL SUR E11
CALI (CT),CALIMA E4
CALI (CT),MOJICA E15
CALI (CT),LILI E17
CALI (CT),LAS DELICIAS E4
CALI (CT),PASO DEL COMERCIO E6
CALI (CT),BUENOS AIRES E18
CALI (CT),SAN NICOLAS E3
CALI (CT),VILLACOLOMBIA E8
CALI (CT),VILLACOLOMBIA E8
CARTAGO,CENTRO
JAMUNDI,VIA JAMUNDI/POTRERITO/RIO CLARO E24
LA VICTORIA,FATIMA
PALMIRA,SAN CAYETANO
PALMIRA,CIUDAD DEL CAMPO
PALMIRA,VERSALLES
PALMIRA,ALFONSO LOPEZ
TULUA,DOCE DE OCTUBRE
YUMBO,URIBE E25
LETICIA (CT),GAITAN
BELLO,CENTRAL
BELLO,SALENTO
EL SANTUARIO,SANTANDER
ENVIGADO,ZONA CENTRO
MEDELLIN (CT),BOMBONA 1 C-10
MEDELLIN (CT),LA CANDELARIA C-10
MEDELLIN (CT),LA CANDELARIA C-10
MEDELLIN (CT),SURAMERICANA C-11
MEDELLIN (CT),NUEVA VILLA DE ABURRA C-16
MEDELLIN (CT),ROBLEDO C-7
MEDELLIN (CT),EL POBLADO C-14
MEDELLIN (CT),CENTRO ADMINISTRATIVO C-10
MEDELLIN (CT),LA CANDELARIA C-10
MEDELLIN (CT),LA CANDELARIA C-10
MEDELLIN (CT),MANRIQUE 2  C-3
MEDELLIN (CT),JESUS NAZARENO C-10
MEDELLIN (CT),SANTO DOMINGO  2 C-1
MEDELLIN (CT),LA CANDELARIA C-10
MEDELLIN (CT),LAURELES C-11
MEDELLIN (CT),ALEJANDRO ECHAVARRIA  C-9
MEDELLIN (CT),LAS PALMAS C-10
MEDELLIN (CT),TRICENTENARIO C-5
MEDELLIN (CT),LA CANDELARIA C-10
BARRANQUILLA (CT),SANTO DOMINGO DE GUZMAN
BARRANQUILLA (CT),BARLOVENTO
BARRANQUILLA (CT),OLAYA
BARRANQUILLA (CT),EL TABOR
LURUACO,ZONA RURAL
CHIQUINQUIRA,BARRIO SANTA CECILIA
SORACA,BARRIO CENTRO
MANIZALES (CT),BARRIO LOS AGUSTINOS
MANIZALES (CT),LOS ALAMOS
MANIZALES (CT),BARRIO CAMPOHERMOSO
MANIZALES (CT),FUNDADORES
MANIZALES (CT),SECTOR UNIVERSIDAD DE MANIZALES
FLORENCIA (CT),LOS ALPES
FLORENCIA (CT),LA PRIMAVERA
FLORENCIA (CT),JUAN XXIII
YOPAL (CT),LA CABUYA
YOPAL (CT),EL TRIUNFO
YOPAL (CT),CASIMENA
YOPAL (CT),DALEL BARON
POPAYAN (CT),BELLO HORIZONTE
TIMBIO,BOYACA
VALLEDUPAR (CT),SAN JOAQUIN
VALLEDUPAR (CT),TOBIAS DAZA
VALLEDUPAR (CT),SAN JOAQUIN
QUIBDO (CT),SANTA HELENA
MONTERIA (CT),EL DORADO
MONTERIA (CT),EL CENTRO
SAHAGUN,EL COROZITO
BOGOTA D.C. (CT),SAN DIEGO E-3
BOGOTA D.C. (CT),SAN VICTORINO E-14
BOGOTA D.C. (CT),VERAGUAS E-14
BOGOTA D.C. (CT),TIMIZA CELULA A LOTE RA-2 E-8
BOGOTA D.C. (CT),SIMON BOLIVAR E-12
BOGOTA D.C. (CT),ISLA DEL SOL E-6
BOGOTA D.C. (CT),TORCOROMA E-1
BOGOTA D.C. (CT),VILLA MAYOR E-18
BOGOTA D.C. (CT),QUIROGA IHS ETAPA E-18
BOGOTA D.C. (CT),SANTA BARBARA CENTRAL E-1
BOGOTA D.C. (CT),LAS NIEVES E-3
BOGOTA D.C. (CT),VILLA MARIA I E-11
BOGOTA D.C. (CT),PATIO BONITO I E-8
BOGOTA D.C. (CT),FONTIBON CENTRO E-9
BOGOTA D.C. (CT),LA TOSCANA E-11
BOGOTA D.C. (CT),CHICO II E-2
BOGOTA D.C. (CT),LAS COLINAS E-18
BOGOTA D.C. (CT),CASABLANCA I     E-8
PASTO (CT),FATIMA
BOGOTA D.C. (CT),CIUDADELA COLSUBSIDIO E-10
BOGOTA D.C. (CT),EL ESPARTILLAL E-2
BOGOTA D.C. (CT),MORATO E-11
BOGOTA D.C. (CT),HORIZONTES E-1
BOGOTA D.C. (CT),LA ESPERANZA E-7
BOGOTA D.C. (CT),PUENTE LARGO E-11
BOGOTA D.C. (CT),CHAPINERO ALTO E-2
BOGOTA D.C. (CT),CENTRO USME E-5
BOGOTA D.C. (CT),CHAPINERO CENTRAL E-2
BOGOTA D.C. (CT),CHAPINERO CENTRAL E-2
BOGOTA D.C. (CT),SAN BERNARDINO E-7
BOGOTA D.C. (CT),LA PRIMAVERA NORTE E-16
BOGOTA D.C. (CT),EL LISTON E-14
BOGOTA D.C. (CT),LIJACA E-1
BOGOTA D.C. (CT),VILLA MAYOR E-15
BOGOTA D.C. (CT),SANTIAGO DE LAS ATALAYAS E-7
BOGOTA D.C. (CT),BOCHICA E-16
BOGOTA D.C. (CT),RESTREPO E-15
BOGOTA D.C. (CT),SAN CRISTOBAL E-4
BOGOTA D.C. (CT),TINTALITO E-8
BUCARAMANGA (CT),CAMPO MADRID
BOGOTA D.C. (CT),ALCALA  E-11
BOGOTA D.C. (CT),DIANA TURBAY E-18
BOGOTA D.C. (CT),LAS MARGARITAS E-8
BOGOTA D.C. (CT),"LA SOLEDAD, SAN JOSE NORTE E-10"
SOACHA,CENTRO
ZIPAQUIRA,CENTRO
AIPE,CENTRO
