FECHA,BARRIO
ENERO,7 DE AGOSTO
ENERO,13 DE MAYO
ENERO,VEREDA CANHOS NEGROS
ENERO,VDA CONSUELO DE CHINYANQUER
ENERO,VEREDA CHIRANQUER
ENERO,SAN FERNANDO
ENERO,FATIMA
ENERO,TERMINAL
ENERO,LA ESPERANZA
ENERO,CENTRO
ENERO,VILLA DOCENTE
ENERO,VILLAFLOR II
ENERO,CHAPAL
ENERO,TAMASAGRA I
ENERO,LOS FUNDADORES
ENERO,VILLAFLOR II
ENERO,SANTIAGO
ENERO,VISTA HERMOSA
ENERO,BARRIO DIVINA PASTORA
ENERO,BARRIO EL PARAMO
ENERO,VIA MOCOA
ENERO,LAS COLINAS
ENERO,CIUDADELA EL SOL
ENERO,LA ESPERANZA
ENERO,LA ESPERANZA
ENERO,FRAYLES
ENERO,LAURELES II
ENERO,BARRIO SARIE BAY
ENERO,BARRIO MODELO I
ENERO,BARRIO SCHOOL HOUSE
ENERO,VILLA ROSA
ENERO,EL CENTRO BOLIVAR
ENERO,DIAMANTE II
ENERO,EL PABLON
ENERO,POBLADO
ENERO,TEJAR
ENERO,SAN FRANCISCO P/TA
ENERO,LA COLINA CAMPESTRE
ENERO,CERROS DEL MEDITERRANEO
ENERO,EL CENTRO
ENERO,CENTRO
ENERO,VARIANTE (ZONA NORTE)
ENERO,VARIANTE (ZONA NORTE)
ENERO,LOS TUNJOS
ENERO,MODELIA
ENERO,LOS TUNJOS
ENERO,CENTRO
ENERO,BELLAVISTA
ENERO,LOS ANDES E5
ENERO,LOS COMUNEROS I E15
ENERO,SUCRE E9
ENERO,SAN FERNANDO VIEJO E19
ENERO,ALFONSO LOPEZ I E7
ENERO,SANTA FE E8
ENERO,U.R. SANTIAGO DE CALI E19
ENERO,EL RETIRO E15
ENERO,EL REMANSO E21
ENERO,EL VERGEL E13
ENERO,URB. POBLADO CAMPESTRE (23-S-6-3)
ENERO,CGTO EL LAURO (23-1)
ENERO,CORREGIMIENTO DE GUABITAS
ENERO,EL DEPARTAMENTAL
ENERO,RECREO
ENERO,CINCUENTENARIO
ENERO,URBANIZACION BUENOS AIRES
ENERO,URBANIZACION BUENOS AIRES
ENERO,NUEVO FARFAN
ENERO,NUEVO FATIMA
ENERO,ARROYOHONDO ZONA INDUSTRIAL (25-2)
ENERO,BELALCAZAR E25
ENERO,SAN PEDRO
ENERO,VDA. TABLAZO HATILLO
ENERO,EL CONGOLO
ENERO,ACEVEDO
ENERO,CIUDADELA DEL NORTE
ENERO,PRIMAVERA
ENERO,EL DORADO
ENERO,VDA. SIERRA MORENA
ENERO,BELLAVISTA
ENERO,SURAMERICANA C-11
ENERO,ESTACION VILLA C-10
ENERO,PARQUE NORTE C-4
ENERO,CASTILLA C-5
ENERO,EL CHAGUALO C-10
ENERO,LA FLORIDA C-14
ENERO,PALENQUE 1 C-7
ENERO,BARRIO CAYCEDO C-9
ENERO,BELLO HORIZONTE C-7
ENERO,BOMBONA 1 C-10
ENERO,CARIBE C-5
ENERO,EL RINCON C-16
ENERO,SEVILLA  C-4
ENERO,GUAYABAL C-15
ENERO,GRANADA C-16
ENERO,VILLANUEVA C-10
ENERO,SANTA CRUZ  C-2
ENERO,ESTACION VILLA C-10
ENERO,CATALUNHA  C-9
ENERO,SEVILLA  C-4
ENERO,CARIBE C-5
ENERO,EL CHAGUALO C-10
ENERO,CARIBE
ENERO,SECTOR GALERIA
ENERO,EL CARMEN
ENERO,BELLA ARENA
ENERO,SANTA CRUZ
ENERO,LA ARBOLEDA
ENERO,LA CRUZ
ENERO,VDA. TENERIA
ENERO,BARRIO LOS SAUCES
ENERO,BARRIO POPULAR
ENERO,CENTRO
ENERO,CRISTO REY
ENERO,CRISTO REY
ENERO,LA ESTRELLA
ENERO,URAPANES
ENERO,LA AMAZONIA
ENERO,JORGE ELIECER GAITAN
ENERO,VIA PALESTRO
ENERO,RAIZAL
ENERO,ESPERANZA
ENERO,LA ESPERANZA
ENERO,MAREIGUA
ENERO,LAS FLORES
ENERO,LAS FLORES
ENERO,EL JARDIN
ENERO,LA FLORESTA
ENERO,VENECIA E-6
ENERO,SUCRE E-2
ENERO,EL POA E-11
ENERO,LA CATEDRAL E-3
ENERO,SANTA FE E-14
ENERO,SAN ISIDRO E-4
ENERO,LA MACARENA E-3
ENERO,SUBA CENTRO E-11
ENERO,CHICO NAVARRA E-1
ENERO,SUBA CENTRO E-11
ENERO,LA PAZ E-3
ENERO,SANTA ISABEL E-14
ENERO,SUBA CENTRO E-11
ENERO,ALTO PRADO
ENERO,COLOMBIALIBRE
ENERO,EL CENTRO
ENERO,BARRIO DIVINO NINHO
ENERO,VEREDA CLAROS
ENERO,EL VERGEL
ENERO,LOS DUJOS
ENERO,ENRIQUE OLAYA HERRERA
ENERO,REPOSO
ENERO,ALCAZARES
ENERO,CENTRO HISTORICO
ENERO,RODADERO SUR
ENERO,CENTRO
ENERO,ESTERO
ENERO,INDUSTRIAL
ENERO,SAN BENITO
ENERO,BELLO HORIZONTE
ENERO,BENJAMIN HERRERA
ENERO,RECUERDO
ENERO,CANTARANA
ENERO,POTRERILLO
ENERO,POTRERILLO
ENERO,NUEVO SOL
ENERO,CENTRO
ENERO,CHAPAL
ENERO,CAICEDO ALTO
ENERO,AV. ESTUDIANTES
ENERO,CHILE
ENERO,CENTRO
ENERO,POTRERILLO
ENERO,MADRIGAL
ENERO,NIZA II
ENERO,CENTRO
ENERO,CENTRO
ENERO,AV. CHAMPAGNAT
ENERO,BARRIO PRADOS DEL ESTE
ENERO,BARRIO EL BOSQUE
ENERO,SECTOR CAM
ENERO,VERACRUZ
ENERO,SECTOR COLISEO DEL CAFE
ENERO,MIRAFLORES BAJO
ENERO,CIUDADELA EL ENSUENHO
ENERO,CIUDADELA EL ENSUENHO
ENERO,B. CENTRO
ENERO,B. CENTRO
ENERO,B. CENTRO
ENERO,SECTOR LA POPA
ENERO,LA AURORA
ENERO,LA AURORA
ENERO,PLAZA CIVICA CIUDAD VICTORIA
ENERO,SECTOR PLAZA DE BOLIVAR
ENERO,SECTOR AVENIDA DEL RIO
ENERO,LAS GARZAS
ENERO,LA ESPERANZA
ENERO,GARCIA ROVIRA
ENERO,CABECERA DEL LLANO
ENERO,REGADERO NORTE
ENERO,TRANSICION V
ENERO,DIAMANTE II
ENERO,VILLA ROSA
ENERO,PIO XII
ENERO,EL BOSQUE
ENERO,PANORAMA
ENERO,VIA PIEDRAS
ENERO,CENTRO
ENERO,VRDA. DINDALITO
ENERO,EL GRAN LIMONAR E17
ENERO,NORMANDIA E2
ENERO,ALFONSO B. ARAGON E14
ENERO,MARIANO RAMOS E16
ENERO,EL RETIRO E15
ENERO,SANTA ROSA E3
ENERO,SANTA TERESITA E2
ENERO,SAN PEDRO E3
ENERO,VALLADO E15
ENERO,SIETE DE AGOSTO E7
ENERO,JORGE ISAACS E4
ENERO,JORGE ISAACS E4
ENERO,SILOE E20
ENERO,MARROQUIN I E14
ENERO,CALLEJON TIPLE ARRIBA (23-S-4-1)
ENERO,CANDELARIA (23-1 23-2)
ENERO,CENTRAL (23-S-2-1)
ENERO,JORGE ELIECER GAITAN
ENERO,LA PRADERA I E24
ENERO,ZAMORANO
ENERO,CENTRAL
ENERO,CENTRAL
ENERO,VILLA CLAUDIA
ENERO,VDA. POTRERITO
ENERO,ZONA CENTRO
ENERO,ASOVIVIENDA
ENERO,PALMIRA
ENERO,VILLANUEVA
ENERO,TERRA NOVA
ENERO,VDA. LA MARIA
ENERO,SAN PIO
ENERO,VILLA PAULA
ENERO,CENTRO
ENERO,LA CANDELARIA C-10
ENERO,VILLANUEVA C-10
ENERO,LA CANDELARIA C-10
MAYO,ZONA CENTRO
ENERO,GERONA  C-9
ENERO,LA MILAGROSA  C-9
ENERO,HECTOR ABAD GOMEZ C-5
ENERO,CRISTO REY C-15
ENERO,BARRIO COLOMBIA C-14
ENERO,LA CANDELARIA C-10
ENERO,LA CANDELARIA C-10
ENERO,LAURELES C-11
ENERO,LOS ANGELES C-10
ENERO,EL POBLADO C-14
ENERO,BOYACA C-5
ENERO,LA CANDELARIA C-10
ENERO,CARIBE C-5
ENERO,ESTACION VILLA C-10
ENERO,ESTACION VILLA C-10
ENERO,AMANECERES
ENERO,CAMPO ALEGRE
ENERO,LLANOGRANDE
ENERO,RINCON DE SAN ANTONIO
ENERO,RIO ABAJO
ENERO,CERAMICA
ENERO,SAN MIGUEL
ENERO,SAN MIGUEL
ENERO,CARRIZAL
ENERO,VILLAS DE LA CORDIALIDAD
ENERO,VILLAS DE LA CORDIALIDAD
ENERO,BOSTON
ENERO,EL SANTUARIO
ENERO,REBOLO
ENERO,PASADENA
ENERO,BOSTON
ENERO,SAN JOSE
ENERO,CENTRO
ENERO,BARRIO SANTA BARBARA
ENERO,CENTRO
ENERO,BARRIO LOS AGUSTINOS
ENERO,BARRIO CHIPRE
ENERO,CIUDADELA HABITACIONAL SIGLO XXI
ENERO,LA LIBERTAD
ENERO,ALGARROBO
ENERO,ALGARROBO
ENERO,ALGARROBO
ENERO,ALGARROBO
ENERO,ALGARROBO
ENERO,CENTRO
ENERO,LA FRAGUA
ENERO,LA FRAGUA
ENERO,POSTOBON
ENERO,SOLIDARIDAD
ENERO,ALAMEDA
ENERO,VILLA DOCENTE
ENERO,CHAMPAGNHA
ENERO,RETIRO BAJO
ENERO,EL CENTRO
ENERO,VEREDA BESITO VOLADO
ENERO,VIA MONTERIA -PLANETA RICA
ENERO,URB. LA COLINA CAMPESTRE I SECTOR E-11
ENERO,CHAPINERO NORTE E-2
ENERO,CHAPINERO NORTE E-2
ENERO,CHAPINERO NORTE E-2
ENERO,ALQUERIA LA FRAGUA E-8
ENERO,NICOLAS DE FEDERMAN E-13
ENERO,GUSTAVO RESTREPO E-18
ENERO,VENECIA E-6
ENERO,CHICO NORTE II SECTOR E-1
ENERO,SAN ANTONIO E-15
ENERO,EL RINCON E-11
ENERO,LOS CEDRITOS E-1
ENERO,VILLA MAYOR E-15
ENERO,CENTRO
ENERO,31 DE OCTUBRE
ENERO,31 DE OCTUBRE
ENERO,EL CENTRO
ENERO,QUIRINAL
ENERO,LAS  MERCEDES
ENERO,CENTRO
ENERO,VEREDA MATEO RICO
ENERO,CENTRO HISTORICO
ENERO,CENTRO HISTORICO
ENERO,CENTRO
ENERO,MONTECARLO
ENERO,BRISAS DEL GUATIQUIA
ENERO,CENTRO
ENERO,LA ESPERANZA
ENERO,VILLA MELIDA
ENERO,CANAAN
ENERO,LA ESMERALDA
ENERO,CENTRO
ENERO,CENTRO
ENERO,PIAMONTE
ENERO,CENTRO
ENERO,CENTRO
ENERO,MONTECARLO
ENERO,GAVIOTAS
ENERO,CENTRO
ENERO,VEREDA APIAY
ENERO,20 DE JULIO
ENERO,CENTRO
ENERO,SAN FELIPE
ENERO,CENTRO
ENERO,20 DE JULIO
ENERO,20 DE JULIO
ENERO,CENTRO
ENERO,OBRERO
ENERO,SANTANDER
ENERO,CENTRO
ENERO,EMILIO BOTERO
ENERO,SAN ANDRES
ENERO,CENTRO
ENERO,CENTRO
ENERO,PANORAMICO I ETAPA
ENERO,CENTRO
ENERO,BARRIO CALLEJON
ENERO,BARRIO BELLAVISTA
ENERO,SUBESTACION SAN JUAN DE VILLALOBOS
ENERO,EL CENTRO
ENERO,NUEVA ARMENIA
ENERO,ACACIAS
ENERO,BOSQUES DE PINARES
ENERO,CENTRO
ENERO,BUENOS AIRES
ENERO,SAGUANES
ENERO,SAN DIEGO
ENERO,BAYRON GAVIRIA
ENERO,TURIN
ENERO,VDA. EL MANZANO
ENERO,SANTA TERESITA
ENERO,SECTOR PARQUE EL LAGO
ENERO,ALFONSO LOPEZ
ENERO,B. SAN FRANCISCO
ENERO,GALAN GOMEZ
ENERO,NARINHO
ENERO,NARINHO
ENERO,CENTRO
ENERO,CLAVERIANO
ENERO,RONDON
ENERO,ASOBETANIA
ENERO,VILLA ANGELICA
ENERO,KENEDY
ENERO,CENTRO
ENERO,JARDIN II ETAPA
ENERO,JORDAN MUTIFAMILIARES
ENERO,ONZAGA
ENERO,LA MANSION
ENERO,KENEDY
ENERO,MACARENA ALTA
ENERO,EL JORDAN
ENERO,LOS LAGOS E13
ENERO,MORICHAL DE COMFANDI E15
ENERO,SAN LUIS E6
ENERO,CRISTOBAL COLON E10
ENERO,PARCELACIONES PANCE E22
ENERO,ALAMEDA E9
ENERO,PARCELACIONES PANCE E22
ENERO,ALFONSO BARBERENA E12
ENERO,EL INGENIO E17
ENERO,ALFONSO B. ARAGON E14
ENERO,SAN FERNANDO VIEJO E19
ENERO,EL SENA E5
ENERO,PARCELACIONES PANCE E22
ENERO,PRIMERO DE MAYO E17
ENERO,PANAMERICANO (23-2)
ENERO,VIA CENCAR - AEREOPUERTO
ENERO,FRANCISCANOS
ENERO,LAS DELICIAS
ENERO,VIA YUMBO DAPA (25-8)
ENERO,VIA YUMBO DAPA (25-8)
ENERO,BELALCAZAR E25
ENERO,SIMON BOLIVAR
ENERO,CENTRO (LETICIA)
ENERO,PARQUE PRINCIPAL
ENERO,LA MADERA
ENERO,SANTA MARIA # 3
ENERO,LA CIUDADELA
ENERO,LA CIUDADELA
ENERO,CAMPO VALDES 1  C-4
ENERO,LA CANDELARIA C-10
ENERO,ARANJUEZ  C-4
ENERO,BARRIO COLOMBIA C-14
ENERO,CERRO EL VOLADOR C-7
ENERO,ENCISO C-8
ENERO,PROGRESO 2 C-6
ENERO,VILLANUEVA C-10
ENERO,PRADO C-10
ENERO,SEVILLA  C-4
ENERO,EL DIAMANTE C-7
ENERO,LA PINHUELA  C-4
ENERO,EL TESORO C-14
ENERO,CONQUISTADORES C-11
ENERO,LAURELES C-11
ENERO,PRADO C-10
ENERO,LA CASTELLANA C-11
ENERO,LA CANDELARIA C-10
ENERO,MANILA C-14
ENERO,NARANJAL C-11
ENERO,PRADO C-10
ENERO,SEVILLA  C-4
ENERO,LA CANDELARIA C-10
ENERO,BOMBONA 1 C-10
ENERO,SEVILLA  C-4
ENERO,REMANSOS
ENERO,TABLAZO
ENERO,TABLAZO
ENERO,LAS CABANHAS
ENERO,EL ROSARIO
ENERO,LA VICTORIA
ENERO,CENTRO
ENERO,7 DE ABRIL
ENERO,CENTRO
ENERO,VDA. RESGUARDO
ENERO,PLAZA DE TOROS
ENERO,ONDAS DE OTUN
ENERO,FUNDADORES
ENERO,ARBOLEDA
ENERO,CENTRO
ENERO,SECTOR EL CABLE
ENERO,EL PORVENIR
ENERO,LA VEGA
ENERO,RICAURTE
ENERO,TORASSO
ENERO,TORASSO
ENERO,CENTRO
ENERO,OLAYA HERRERA
ENERO,EL CARMEN
ENERO,FERIA GANADERA
ENERO,ZONA MINERA
ENERO,JULIO FIGUEROA VILLA
ENERO,VEREDA SANTA ANA
ENERO,LAS AGUAS E-17
ENERO,URB. PALENQUE E-8
ENERO,TEUSAQUILLO E-13
ENERO,VILLA NELLY E-8
ENERO,GALERIAS E-13
ENERO,LA MACARENA E-3
ENERO,PASADENA ROYAL E-11
ENERO,LA CASTELLANA E-12
ENERO,LA CASTELLANA E-12
ENERO,CIUDAD JARDIN SUR E-15
ENERO,BILBAO E-11
ENERO,ESTADOS UNIDOS   E-8
ENERO,IBERIA E-11
ENERO,CHICO NORTE I E-2
ENERO,SUBA CENTRO E-11
ENERO,GUSTAVO RESTREPO E-18
ENERO,EL PLAYON - LA PLAYITA III E-18
ENERO,ENTRERIOS E-12
ENERO,QUIRIGUA I E-10
ENERO,"LA SOLEDAD, SAN JOSE NORTE E-10"
ENERO,BOSQUES DE SAN JOSE E-18
ENERO,VILLA CLEMENCIA E-7
ENERO,EL RECREO E-7
ENERO,LAS MARGARITAS E-7
ENERO,CENTRO
ENERO,CENTRO
ENERO,EL CARMEN
ENERO,EL CARMEN
ENERO,LA VICTORIA
ENERO,RAFAEL AZUERO MANCHOLA
ENERO,LUIS CARLOS GALAN ETAPA I
ENERO,ENRIQUE OLAYA HERRERA
ENERO,VILLA MELIDA
ENERO,RELIQUIA
ENERO,BARZAL BAJO
ENERO,DONHA LUZ
ENERO,REMANSO
ENERO,VILLA JULIA
ENERO,LLANO LINDO
ENERO,JORDAN
ENERO,ESTERO
ENERO,CAMINO REAL
ENERO,MACUNAIMA
ENERO,COMUNEROS
ENERO,ESTERO
ENERO,SANTANDER
ENERO,CENTRO
ENERO,GOLGOTA
ENERO,OBRERO
ENERO,20 DE JULIO
ENERO,LORENZO
ENERO,LORENZO
ENERO,MORASURCO
ENERO,SAN JUAN BOSCO
ENERO,CENTRO
ENERO,CENTRO
ENERO,CENTRO
ENERO,AV. CHAMPAGNAT
ENERO,CENTRO
ENERO,NIZA III
ENERO,ESTADIO LIBERTAD
ENERO,LORENZO
ENERO,PLAZA DEL CARNAVAL
ENERO,CENTRO
ENERO,CENTRO
ENERO,CENTRO
ENERO,EL MORRO
ENERO,SAN JUAN
ENERO,BARRIO LOS PINOS
ENERO,BARRIO LA PLAYA
ENERO,BARRIO SAN JOSE
ENERO,BARRIO LA LIBERTAD
ENERO,BARRIO SIMON BOLIVAR
ENERO,BARRIO CENTRO
ENERO,PABLO VI
ENERO,CENTRO
ENERO,CIUDADELA UNIVERSITARIA
ENERO,PERPETUO SOCORRO
ENERO,SAN FERNANDO
ENERO,MIRAFLORES BAJO
ENERO,ZONA CENTRO
ENERO,PLAZOLETA LA VILLA
ENERO,LOS NARANJOS
ENERO,VILLAVICENCIO
ENERO,SECTOR AV 30 AGO ENTRE CL 37 Y 41
ENERO,SECTOR COMERCIAL
ENERO,SANTA ISABEL
ENERO,LA ESPERANZA
ENERO,JARDINES DE COAVICONSA
ENERO,NUEVO SOTOMAYOR
ENERO,SAN RAFAEL
ENERO,SAN FRANCISCO
ENERO,KENNEDY
ENERO,LA PAZ E2
ENERO,BUCARAMANGA
ENERO,LAGOS I
ENERO,HACIENDA SAN JUAN
ENERO,CONVIVIR
ENERO,CENTRO P/TA
ENERO,EL PROGRESO
ENERO,ESPANHA
ENERO,HACIENDA PIEDRAPINTADA
ENERO,EL CARMEN
ENERO,ESTACION
ENERO,CADIZ
ENERO,TOLIMA GRANDE
ENERO,JORDAN MUTIFAMILIARES
ENERO,SANTA RITA
ENERO,CENTRO
ENERO,VERSALLES E2
ENERO,CIUDAD CAPRI E17
ENERO,LOS LAGOS E13
ENERO,PRADOS DEL NORTE E2
ENERO,CGTO LA VORAGINE E22
ENERO,PRADOS DEL NORTE E2
ENERO,LOS LAGOS E13
ENERO,VALLE GRANDE E21
ENERO,VILLA DEL LAGO E13
ENERO,ALTAMIRA
ENERO,CENTRAL
ENERO,LAS FLORES
ENERO,CAMILO CORTEZ
ENERO,MARCELIANO CANYES
ENERO,EL CAUNZAL
ENERO,MANZANAREZ
ENERO,CIUDADELA DEL NORTE
ENERO,CIUDADELA DEL NORTE
ENERO,CIUDADELA DEL NORTE
ENERO,BRISAS DE URABA
ENERO,LA MINA
ENERO,SAN JOSE
ENERO,CENTRO
ENERO,TRIANA
ENERO,SANTA MARIA # 3
ENERO,EL DORADO
ENERO,SEVILLA  C-4
ENERO,LAURELES C-11
ENERO,JARDIN BOTANICO  C-4
ENERO,LOS CERROS EL VERGEL  C-9
ENERO,ASTORGA C-14
ENERO,LA FRANCIA  C-2
ENERO,PRADO C-10
ENERO,VILLANUEVA C-10
ENERO,LOS PINOS C-12
ENERO,ESTACION VILLA C-10
ENERO,CORDOBA C-7
ENERO,VILLANUEVA C-10
ENERO,LA CANDELARIA C-10
ENERO,LA CANDELARIA C-10
ENERO,EL POBLADO C-14
ENERO,ROSALES C-16
ENERO,DON BOSCO
ENERO,SAN ROQUE
ENERO,EL RECREO
ENERO,CENTRO
ENERO,SILENCIO
ENERO,CENTRO
ENERO,REBOLO
ENERO,CIUDADELA 20 DE JULIO
ENERO,BARRIO BOYACA ALTO
ENERO,SANTANDER
ENERO,BARRIO CENTRO
ENERO,SEVILLA
ENERO,VILLA UNIVERSITARIA
ENERO,CENTRO
ENERO,VDA PURNIO
ENERO,SECTOR EL CABLE
ENERO,SECTOR EL CABLE
ENERO,CENTRO
ENERO,SECTOR BELLAS ARTES
ENERO,CENTRO
ENERO,SECTOR EL CABLE
ENERO,CENTRO
ENERO,CENTRO
ENERO,SECTOR EL CABLE
ENERO,SECTOR EL CABLE
ENERO,EL RAICERO
ENERO,VILLAMONICA
ENERO,EL CENTRO
ENERO,VILLA MARIA
ENERO,LUIS MARIA JIMENEZ
ENERO,HOBO
ENERO,LOS ALMENDROS
ENERO,LOS ALMENDROS
ENERO,URBANIZACION PERPETUO SOCORRO
ENERO,VEREDA
ENERO,GALAN
ENERO,URB. LA RIVIERA
ENERO,CHUCHURUBI
ENERO,SIMON BOLIVAR
ENERO,LA ESTRADA E-10
ENERO,LOS CEDRITOS E-1
ENERO,LA CAPUCHINA E-3
ENERO,RESTREPO E-15
ENERO,LA GIRALDA E-9
ENERO,LAGO GAITAN E-2
ENERO,LAS DELICIAS   E-8
ENERO,NIZA XII E-11
ENERO,SANTA MATILDE I SECTOR E-16
ENERO,SAMPER E-3
ENERO,BOSQUE CALDERON E-2
ENERO,POLO CLUB E-12
ENERO,SANTA ISABEL E-14
ENERO,PATIO BONITO I E-8
ENERO,SAN ANTONIO E-15
ENERO,CHICO I E-2
ENERO,EL CENTENARIO E-18
ENERO,TINTAL    E-8
ENERO,VILLA DEL RINCON E-11
ENERO,CENTRO ANTONIO NARINHO E-13
ENERO,VENECIA E-6
ENERO,QUIROGA IHS ETAPA E-18
ENERO,CHAPINERO CENTRAL E-2
ENERO,URB. MANUELA BELTRAN E-19
ENERO,URB. LA PUERTA DEL SOL E-11
ENERO,CHICO I E-2
ENERO,MARIA PAZ E-8
ENERO,CHICO NAVARRA E-1
ENERO,URB. CLARET EL CARMEN E-6
ENERO,MARIA PAZ E-8
ENERO,LAS MARGARITAS E-8
ENERO,QUIROGA VII ETAPA E-18
ENERO,GALAN
ENERO,CENTRO
ENERO,BARRIO LA ESPERANZA
ENERO,URBANIZACION EL TESORO
ENERO,URBANIZACION EL TESORO
ENERO,SAN FRANCISCO DE ASIS
ENERO,SAN FRANCISCO DE ASIS
ENERO,RAFAEL AZUERO MANCHOLA
ENERO,SUCRE
ENERO,LOS PINOS
ENERO,TEYUNA
ENERO,DON DIEGO
ENERO,CENTRO
ENERO,RODADERO TRADICIONAL
ENERO,CENTRO
ENERO,VEREDA BARCELONA
ENERO,COMUNEROS
ENERO,LA ESPERANZA VII ETAPA
ENERO,CAUDAL ORIENTAL
ENERO,PORVENIR
ENERO,CAMINO REAL
ENERO,GUATIQUIA
ENERO,MONTECARLO
ENERO,20 DE JULIO
ENERO,YERBABUENA
ENERO,AVENIDA PANAMERICANA
ENERO,CENTRO
ENERO,CRUZ VERDE
ENERO,CRUZ VERDE
ENERO,OBRERO
ENERO,AVENIDA PANAMERICANA
ENERO,LORENZO
ENERO,MARILUZ
ENERO,MIRAFLORES I
ENERO,LA AURORA
ENERO,CHAPAL
ENERO,BARRIO QUINTA VELEZ
ENERO,BARRIO SANTO DOMINGO
ENERO,BARRIO LATINO
ENERO,BARIO LA RIVIERA
ENERO,BARRIO PATIO CENTRO
ENERO,BARRIO SAN AGUSTIN
ENERO,BARRIO SAN AGUSTIN
ENERO,CENTRO
ENERO,MONTEVIDEO
ENERO,ZONA CENTRO
ENERO,PINARES DE SAN MARTIN
ENERO,JARDIN I
ENERO,OLAYA HERRERA
ENERO,PRIMERO DE FEBRERO 1
ENERO,SECTOR VIADUCTO
ENERO,SECTOR PLAZA DE BOLIVAR
ENERO,LA ISLA (V/SANTANA)
ENERO,B. SAN VICENTE DE PAUL
ENERO,B. SAN VICENTE DE PAUL
ENERO,SANTA ANA
ENERO,GALAN GOMEZ
ENERO,VILLARELIS III
ENERO,CABECERA DEL LLANO
ENERO,CABECERA DEL LLANO
ENERO,CENTRO
ENERO,TRANSICION IV
ENERO,ANTIGUO CAMPESTRE
ENERO,DANGOND
ENERO,LA CONCORDIA
ENERO,LAGOS I
ENERO,LAGOS I
ENERO,ANILLO VIAL
ENERO,VILLA MERLANO
ENERO,CENTRO
ENERO,URB. LAS COLINAS
ENERO,URB. LAS COLINAS
ENERO,FLORENCIA
ENERO,LA MANO DE DIOS
ENERO,URB. LOS TEJARES
ENERO,CARMENZA ROCHA
ENERO,CARMENZA ROCHA
ENERO,CENTRO
ENERO,CENTRO
ENERO,EL CARMEN
ENERO,LAS PALMERAS (URB.)
ENERO,LAURELES
ENERO,PRADOS DEL NORTE
ENERO,JORDAN III ETAPA
ENERO,LA MIEL
ENERO,CENTRO
ENERO,EL CENTRO
ENERO,EL POBLADO II E13
ENERO,JOSE M. MARROQUIN II E14
ENERO,JOSE M. MARROQUIN II E14
ENERO,LAS DELICIAS E4
ENERO,LOS GUADUALES E6
ENERO,CALIMIO DESEPAZ E21
ENERO,CIUDAD CAPRI E17
ENERO,CIUDAD CAPRI E17
ENERO,COMPARTIR E21
ENERO,VENEZ - URB. CANHAVER E20
