BARRIO,ZONA
PLAZA CIVICA CIUDAD VICTORIA,URBANA
SECTOR PLAZA DE BOLIVAR,URBANA
SECTOR AVENIDA DEL RIO,URBANA
LAS GARZAS,URBANA
LA ESPERANZA,URBANA
GARCIA ROVIRA,URBANA
CABECERA DEL LLANO,URBANA
REGADERO NORTE,URBANA
TRANSICION V,URBANA
DIAMANTE II,URBANA
VILLA ROSA,URBANA
PIO XII,URBANA
EL BOSQUE,URBANA
PANORAMA,URBANA
VIA PIEDRAS,RURAL
CENTRO,RURAL
VRDA. DINDALITO,RURAL
EL GRAN LIMONAR E17,URBANA
NORMANDIA E2,URBANA
ALFONSO B. ARAGON E14,URBANA
MARIANO RAMOS E16,URBANA
EL RETIRO E15,URBANA
SANTA ROSA E3,URBANA
SANTA TERESITA E2,URBANA
SAN PEDRO E3,URBANA
VALLADO E15,URBANA
SIETE DE AGOSTO E7,URBANA
JORGE ISAACS E4,URBANA
JORGE ISAACS E4,URBANA
SILOE E20,URBANA
MARROQUIN I E14,URBANA
CALLEJON TIPLE ARRIBA (23-S-4-1),URBANA
CANDELARIA (23-1 23-2),URBANA
CENTRAL (23-S-2-1),URBANA
JORGE ELIECER GAITAN,URBANA
LA PRADERA I E24,URBANA
ZAMORANO,URBANA
CENTRAL,URBANA
CENTRAL,URBANA
VILLA CLAUDIA,URBANA
VDA. POTRERITO,RURAL
ZONA CENTRO,URBANA
ASOVIVIENDA,URBANA
PALMIRA,RURAL
VILLANUEVA,URBANA
TERRA NOVA,URBANA
VDA. LA MARIA,RURAL
SAN PIO,URBANA
VILLA PAULA,URBANA
CENTRO,URBANA
LA CANDELARIA C-10,URBANA
VILLANUEVA C-10,URBANA
LA CANDELARIA C-10,URBANA
ZONA CENTRO,URBANA
GERONA  C-9,URBANA
LA MILAGROSA  C-9,URBANA
HECTOR ABAD GOMEZ C-5,URBANA
CRISTO REY C-15,URBANA
BARRIO COLOMBIA C-14,URBANA
LA CANDELARIA C-10,URBANA
LA CANDELARIA C-10,URBANA
LAURELES C-11,URBANA
LOS ANGELES C-10,URBANA
EL POBLADO C-14,URBANA
BOYACA C-5,URBANA
LA CANDELARIA C-10,URBANA
CARIBE C-5,URBANA
ESTACION VILLA C-10,URBANA
ESTACION VILLA C-10,URBANA
AMANECERES,URBANA
CAMPO ALEGRE,URBANA
LLANOGRANDE,RURAL
RINCON DE SAN ANTONIO,RURAL
RIO ABAJO,RURAL
CERAMICA,URBANA
SAN MIGUEL,RURAL
SAN MIGUEL,RURAL
CARRIZAL,URBANA
VILLAS DE LA CORDIALIDAD,RURAL
VILLAS DE LA CORDIALIDAD,RURAL
BOSTON,URBANA
EL SANTUARIO,URBANA
REBOLO,URBANA
PASADENA,URBANA
BOSTON,URBANA
SAN JOSE,URBANA
CENTRO,URBANA
BARRIO SANTA BARBARA,URBANA
CENTRO,URBANA
BARRIO LOS AGUSTINOS,URBANA
BARRIO CHIPRE,URBANA
CIUDADELA HABITACIONAL SIGLO XXI,URBANA
LA LIBERTAD,URBANA
ALGARROBO,URBANA
ALGARROBO,URBANA
ALGARROBO,URBANA
ALGARROBO,URBANA
ALGARROBO,URBANA
CENTRO,URBANA
LA FRAGUA,URBANA
LA FRAGUA,URBANA
POSTOBON,URBANA
SOLIDARIDAD,URBANA
ALAMEDA,URBANA
VILLA DOCENTE,URBANA
CHAMPAGNHA,URBANA
RETIRO BAJO,URBANA
EL CENTRO,URBANA
VEREDA BESITO VOLADO,RURAL
VIA MONTERIA -PLANETA RICA,URBANA
URB. LA COLINA CAMPESTRE I SECTOR E-11,URBANA
CHAPINERO NORTE E-2,URBANA
CHAPINERO NORTE E-2,URBANA
CHAPINERO NORTE E-2,URBANA
ALQUERIA LA FRAGUA E-8,URBANA
NICOLAS DE FEDERMAN E-13,URBANA
GUSTAVO RESTREPO E-18,URBANA
VENECIA E-6,URBANA
CHICO NORTE II SECTOR E-1,URBANA
SAN ANTONIO E-15,URBANA
EL RINCON E-11,URBANA
LOS CEDRITOS E-1,URBANA
VILLA MAYOR E-15,URBANA
CENTRO,URBANA
31 DE OCTUBRE,URBANA
31 DE OCTUBRE,URBANA
EL CENTRO,URBANA
QUIRINAL,URBANA
LAS  MERCEDES,URBANA
CENTRO,URBANA
VEREDA MATEO RICO,RURAL
CENTRO HISTORICO,URBANA
CENTRO HISTORICO,URBANA
CENTRO,URBANA
MONTECARLO,URBANA
BRISAS DEL GUATIQUIA,URBANA
CENTRO,URBANA
LA ESPERANZA,URBANA
VILLA MELIDA,URBANA
CANAAN,URBANA
LA ESMERALDA,URBANA
CENTRO,URBANA
CENTRO,URBANA
PIAMONTE,URBANA
CENTRO,URBANA
CENTRO,URBANA
MONTECARLO,URBANA
GAVIOTAS,URBANA
CENTRO,URBANA
VEREDA APIAY,RURAL
20 DE JULIO,URBANA
CENTRO,URBANA
SAN FELIPE,URBANA
CENTRO,URBANA
20 DE JULIO,URBANA
20 DE JULIO,URBANA
CENTRO,URBANA
OBRERO,RURAL
SANTANDER,URBANA
CENTRO,URBANA
EMILIO BOTERO,URBANA
SAN ANDRES,URBANA
CENTRO,URBANA
CENTRO,URBANA
PANORAMICO I ETAPA,URBANA
CENTRO,URBANA
BARRIO CALLEJON,URBANA
BARRIO BELLAVISTA,URBANA
SUBESTACION SAN JUAN DE VILLALOBOS,RURAL
EL CENTRO,URBANA
NUEVA ARMENIA,URBANA
ACACIAS,URBANA
BOSQUES DE PINARES,URBANA
CENTRO,URBANA
BUENOS AIRES,URBANA
SAGUANES,URBANA
SAN DIEGO,URBANA
BAYRON GAVIRIA,URBANA
TURIN,URBANA
VDA. EL MANZANO,RURAL
SANTA TERESITA,URBANA
SECTOR PARQUE EL LAGO,URBANA
ALFONSO LOPEZ,URBANA
B. SAN FRANCISCO,URBANA
GALAN GOMEZ,URBANA
NARINHO,URBANA
NARINHO,URBANA
CENTRO,URBANA
CLAVERIANO,URBANA
RONDON,URBANA
ASOBETANIA,URBANA
VILLA ANGELICA,URBANA
KENEDY,URBANA
CENTRO,URBANA
JARDIN II ETAPA,URBANA
JORDAN MUTIFAMILIARES,URBANA
ONZAGA,URBANA
LA MANSION,URBANA
KENEDY,URBANA
MACARENA ALTA,URBANA
EL JORDAN,URBANA
LOS LAGOS E13,URBANA
MORICHAL DE COMFANDI E15,URBANA
SAN LUIS E6,URBANA
CRISTOBAL COLON E10,URBANA
PARCELACIONES PANCE E22,URBANA
ALAMEDA E9,URBANA
PARCELACIONES PANCE E22,URBANA
ALFONSO BARBERENA E12,URBANA
EL INGENIO E17,URBANA
ALFONSO B. ARAGON E14,URBANA
SAN FERNANDO VIEJO E19,URBANA
EL SENA E5,URBANA
PARCELACIONES PANCE E22,RURAL
PRIMERO DE MAYO E17,URBANA
PANAMERICANO (23-2),URBANA
VIA CENCAR - AEREOPUERTO,RURAL
FRANCISCANOS,URBANA
LAS DELICIAS,URBANA
VIA YUMBO DAPA (25-8),RURAL
VIA YUMBO DAPA (25-8),RURAL
BELALCAZAR E25,URBANA
SIMON BOLIVAR,URBANA
CENTRO (LETICIA),URBANA
PARQUE PRINCIPAL,URBANA
LA MADERA,URBANA
SANTA MARIA # 3,URBANA
LA CIUDADELA,URBANA
LA CIUDADELA,URBANA
CAMPO VALDES 1  C-4,URBANA
LA CANDELARIA C-10,URBANA
ARANJUEZ  C-4,URBANA
BARRIO COLOMBIA C-14,URBANA
CERRO EL VOLADOR C-7,URBANA
ENCISO C-8,URBANA
PROGRESO 2 C-6,URBANA
VILLANUEVA C-10,URBANA
PRADO C-10,URBANA
SEVILLA  C-4,URBANA
EL DIAMANTE C-7,URBANA
LA PINHUELA  C-4,URBANA
EL TESORO C-14,URBANA
CONQUISTADORES C-11,URBANA
LAURELES C-11,URBANA
PRADO C-10,URBANA
LA CASTELLANA C-11,URBANA
LA CANDELARIA C-10,URBANA
MANILA C-14,URBANA
NARANJAL C-11,URBANA
PRADO C-10,URBANA
SEVILLA  C-4,URBANA
LA CANDELARIA C-10,URBANA
BOMBONA 1 C-10,URBANA
SEVILLA  C-4,URBANA
REMANSOS,URBANA
TABLAZO,RURAL
TABLAZO,RURAL
LAS CABANHAS,URBANA
EL ROSARIO,URBANA
LA VICTORIA,URBANA
CENTRO,URBANA
7 DE ABRIL,URBANA
CENTRO,URBANA
VDA. RESGUARDO,RURAL
PLAZA DE TOROS,URBANA
ONDAS DE OTUN,URBANA
FUNDADORES,URBANA
ARBOLEDA,URBANA
CENTRO,URBANA
SECTOR EL CABLE,URBANA
EL PORVENIR,URBANA
LA VEGA,URBANA
RICAURTE,URBANA
TORASSO,URBANA
TORASSO,URBANA
CENTRO,URBANA
OLAYA HERRERA,URBANA
EL CARMEN,URBANA
FERIA GANADERA,URBANA
ZONA MINERA,URBANA
JULIO FIGUEROA VILLA,URBANA
VEREDA SANTA ANA,RURAL
LAS AGUAS E-17,URBANA
URB. PALENQUE E-8,URBANA
TEUSAQUILLO E-13,URBANA
VILLA NELLY E-8,URBANA
GALERIAS E-13,URBANA
LA MACARENA E-3,URBANA
PASADENA ROYAL E-11,URBANA
LA CASTELLANA E-12,URBANA
LA CASTELLANA E-12,URBANA
CIUDAD JARDIN SUR E-15,URBANA
BILBAO E-11,URBANA
ESTADOS UNIDOS   E-8,URBANA
IBERIA E-11,URBANA
CHICO NORTE I E-2,URBANA
SUBA CENTRO E-11,URBANA
GUSTAVO RESTREPO E-18,URBANA
EL PLAYON - LA PLAYITA III E-18,URBANA
ENTRERIOS E-12,URBANA
QUIRIGUA I E-10,URBANA
"LA SOLEDAD, SAN JOSE NORTE E-10",URBANA
BOSQUES DE SAN JOSE E-18,URBANA
VILLA CLEMENCIA E-7,URBANA
EL RECREO E-7,URBANA
LAS MARGARITAS E-7,URBANA
CENTRO,RURAL
CENTRO,URBANA
EL CARMEN,URBANA
EL CARMEN,URBANA
LA VICTORIA,URBANA
RAFAEL AZUERO MANCHOLA,URBANA
LUIS CARLOS GALAN ETAPA I,URBANA
ENRIQUE OLAYA HERRERA,URBANA
VILLA MELIDA,URBANA
RELIQUIA,URBANA
BARZAL BAJO,URBANA
DONHA LUZ,URBANA
REMANSO,URBANA
VILLA JULIA,URBANA
LLANO LINDO,URBANA
JORDAN,URBANA
ESTERO,URBANA
CAMINO REAL,URBANA
MACUNAIMA,URBANA
COMUNEROS,URBANA
ESTERO,URBANA
SANTANDER,URBANA
CENTRO,URBANA
GOLGOTA,URBANA
OBRERO,URBANA
20 DE JULIO,URBANA
LORENZO,URBANA
LORENZO,URBANA
MORASURCO,URBANA
SAN JUAN BOSCO,URBANA
CENTRO,URBANA
CENTRO,URBANA
CENTRO,URBANA
AV. CHAMPAGNAT,URBANA
CENTRO,URBANA
NIZA III,URBANA
ESTADIO LIBERTAD,URBANA
LORENZO,URBANA
PLAZA DEL CARNAVAL,URBANA
CENTRO,URBANA
CENTRO,URBANA
CENTRO,URBANA
EL MORRO,URBANA
SAN JUAN,URBANA
BARRIO LOS PINOS,URBANA
BARRIO LA PLAYA,URBANA
BARRIO SAN JOSE,URBANA
BARRIO LA LIBERTAD,URBANA
BARRIO SIMON BOLIVAR,URBANA
BARRIO CENTRO,URBANA
PABLO VI,URBANA
CENTRO,URBANA
CIUDADELA UNIVERSITARIA,URBANA
PERPETUO SOCORRO,URBANA
SAN FERNANDO,URBANA
MIRAFLORES BAJO,URBANA
ZONA CENTRO,URBANA
PLAZOLETA LA VILLA,URBANA
LOS NARANJOS,URBANA
VILLAVICENCIO,URBANA
SECTOR AV 30 AGO ENTRE CL 37 Y 41,URBANA
SECTOR COMERCIAL,URBANA
SANTA ISABEL,URBANA
LA ESPERANZA,URBANA
JARDINES DE COAVICONSA,URBANA
NUEVO SOTOMAYOR,URBANA
SAN RAFAEL,URBANA
SAN FRANCISCO,URBANA
KENNEDY,URBANA
LA PAZ E2,URBANA
BUCARAMANGA,URBANA
LAGOS I,URBANA
HACIENDA SAN JUAN,URBANA
CONVIVIR,URBANA
CENTRO P/TA,URBANA
EL PROGRESO,URBANA
ESPANHA,URBANA
HACIENDA PIEDRAPINTADA,URBANA
EL CARMEN,URBANA
ESTACION,URBANA
CADIZ,URBANA
TOLIMA GRANDE,URBANA
JORDAN MUTIFAMILIARES,URBANA
SANTA RITA,URBANA
CENTRO,URBANA
VERSALLES E2,URBANA
CIUDAD CAPRI E17,URBANA
LOS LAGOS E13,URBANA
PRADOS DEL NORTE E2,URBANA
CGTO LA VORAGINE E22,RURAL
PRADOS DEL NORTE E2,URBANA
LOS LAGOS E13,URBANA
VALLE GRANDE E21,URBANA
VILLA DEL LAGO E13,URBANA
ALTAMIRA,URBANA
CENTRAL,URBANA
LAS FLORES,URBANA
CAMILO CORTEZ,URBANA
MARCELIANO CANYES,URBANA
EL CAUNZAL,URBANA
MANZANAREZ,URBANA
CIUDADELA DEL NORTE,URBANA
CIUDADELA DEL NORTE,URBANA
CIUDADELA DEL NORTE,URBANA
BRISAS DE URABA,URBANA
LA MINA,URBANA
SAN JOSE,URBANA
CENTRO,URBANA
TRIANA,URBANA
SANTA MARIA # 3,URBANA
EL DORADO,URBANA
SEVILLA  C-4,URBANA
LAURELES C-11,URBANA
JARDIN BOTANICO  C-4,URBANA
LOS CERROS EL VERGEL  C-9,URBANA
ASTORGA C-14,URBANA
LA FRANCIA  C-2,URBANA
PRADO C-10,URBANA
VILLANUEVA C-10,URBANA
LOS PINOS C-12,URBANA
ESTACION VILLA C-10,URBANA
CORDOBA C-7,URBANA
VILLANUEVA C-10,URBANA
LA CANDELARIA C-10,URBANA
LA CANDELARIA C-10,URBANA
EL POBLADO C-14,URBANA
ROSALES C-16,URBANA
DON BOSCO,URBANA
SAN ROQUE,URBANA
EL RECREO,URBANA
CENTRO,URBANA
SILENCIO,URBANA
CENTRO,URBANA
REBOLO,URBANA
CIUDADELA 20 DE JULIO,URBANA
BARRIO BOYACA ALTO,URBANA
SANTANDER,URBANA
BARRIO CENTRO,URBANA
SEVILLA,URBANA
VILLA UNIVERSITARIA,URBANA
CENTRO,URBANA
VDA PURNIO,RURAL
SECTOR EL CABLE,URBANA
SECTOR EL CABLE,URBANA
CENTRO,URBANA
SECTOR BELLAS ARTES,URBANA
CENTRO,URBANA
SECTOR EL CABLE,URBANA
CENTRO,URBANA
CENTRO,URBANA
SECTOR EL CABLE,URBANA
SECTOR EL CABLE,URBANA
EL RAICERO,URBANA
VILLAMONICA,URBANA
EL CENTRO,URBANA
VILLA MARIA,URBANA
LUIS MARIA JIMENEZ,URBANA
HOBO,URBANA
LOS ALMENDROS,URBANA
LOS ALMENDROS,URBANA
URBANIZACION PERPETUO SOCORRO,URBANA
VEREDA,RURAL
GALAN,URBANA
URB. LA RIVIERA,URBANA
CHUCHURUBI,URBANA
SIMON BOLIVAR,RURAL
LA ESTRADA E-10,URBANA
LOS CEDRITOS E-1,URBANA
LA CAPUCHINA E-3,URBANA
RESTREPO E-15,URBANA
LA GIRALDA E-9,URBANA
LAGO GAITAN E-2,URBANA
LAS DELICIAS   E-8,URBANA
NIZA XII E-11,URBANA
SANTA MATILDE I SECTOR E-16,URBANA
SAMPER E-3,URBANA
BOSQUE CALDERON E-2,URBANA
POLO CLUB E-12,URBANA
SANTA ISABEL E-14,URBANA
PATIO BONITO I E-8,URBANA
SAN ANTONIO E-15,URBANA
CHICO I E-2,URBANA
EL CENTENARIO E-18,URBANA
TINTAL    E-8,URBANA
VILLA DEL RINCON E-11,URBANA
CENTRO ANTONIO NARINHO E-13,URBANA
VENECIA E-6,URBANA
QUIROGA IHS ETAPA E-18,URBANA
CHAPINERO CENTRAL E-2,URBANA
URB. MANUELA BELTRAN E-19,URBANA
URB. LA PUERTA DEL SOL E-11,URBANA
CHICO I E-2,URBANA
MARIA PAZ E-8,URBANA
CHICO NAVARRA E-1,URBANA
URB. CLARET EL CARMEN E-6,URBANA
MARIA PAZ E-8,URBANA
LAS MARGARITAS E-8,URBANA
QUIROGA VII ETAPA E-18,URBANA
GALAN,URBANA
CENTRO,URBANA
BARRIO LA ESPERANZA,URBANA
URBANIZACION EL TESORO,URBANA
URBANIZACION EL TESORO,URBANA
SAN FRANCISCO DE ASIS,URBANA
SAN FRANCISCO DE ASIS,URBANA
RAFAEL AZUERO MANCHOLA,URBANA
SUCRE,URBANA
LOS PINOS,URBANA
TEYUNA,URBANA
DON DIEGO,RURAL
CENTRO,URBANA
RODADERO TRADICIONAL,URBANA
CENTRO,URBANA
VEREDA BARCELONA,RURAL
COMUNEROS,URBANA
LA ESPERANZA VII ETAPA,URBANA
CAUDAL ORIENTAL,URBANA
PORVENIR,URBANA
CAMINO REAL,URBANA
GUATIQUIA,URBANA
MONTECARLO,URBANA
20 DE JULIO,URBANA
YERBABUENA,URBANA
AVENIDA PANAMERICANA,URBANA
CENTRO,URBANA
CRUZ VERDE,URBANA
CRUZ VERDE,URBANA
OBRERO,URBANA
AVENIDA PANAMERICANA,URBANA
LORENZO,URBANA
MARILUZ,URBANA
MIRAFLORES I,URBANA
LA AURORA,URBANA
CHAPAL,URBANA
BARRIO QUINTA VELEZ,URBANA
BARRIO SANTO DOMINGO,URBANA
BARRIO LATINO,URBANA
BARIO LA RIVIERA,URBANA
BARRIO PATIO CENTRO,URBANA
BARRIO SAN AGUSTIN,URBANA
BARRIO SAN AGUSTIN,URBANA
CENTRO,URBANA
MONTEVIDEO,URBANA
ZONA CENTRO,URBANA
PINARES DE SAN MARTIN,URBANA
JARDIN I,URBANA
OLAYA HERRERA,URBANA
PRIMERO DE FEBRERO 1,URBANA
SECTOR VIADUCTO,URBANA
SECTOR PLAZA DE BOLIVAR,URBANA
LA ISLA (V/SANTANA),URBANA
B. SAN VICENTE DE PAUL,URBANA
B. SAN VICENTE DE PAUL,URBANA
SANTA ANA,URBANA
GALAN GOMEZ,URBANA
VILLARELIS III,URBANA
CABECERA DEL LLANO,URBANA
CABECERA DEL LLANO,URBANA
CENTRO,URBANA
TRANSICION IV,URBANA
ANTIGUO CAMPESTRE,URBANA
DANGOND,URBANA
LA CONCORDIA,URBANA
LAGOS I,URBANA
LAGOS I,URBANA
ANILLO VIAL,URBANA
VILLA MERLANO,URBANA
CENTRO,URBANA
URB. LAS COLINAS,URBANA
URB. LAS COLINAS,URBANA
FLORENCIA,URBANA
LA MANO DE DIOS,URBANA
URB. LOS TEJARES,URBANA
CARMENZA ROCHA,URBANA
CARMENZA ROCHA,URBANA
CENTRO,URBANA
CENTRO,URBANA
EL CARMEN,URBANA
LAS PALMERAS (URB.),URBANA
LAURELES,URBANA
PRADOS DEL NORTE,URBANA
JORDAN III ETAPA,URBANA
LA MIEL,RURAL
CENTRO,URBANA
EL CENTRO,URBANA
EL POBLADO II E13,URBANA
JOSE M. MARROQUIN II E14,URBANA
JOSE M. MARROQUIN II E14,URBANA
LAS DELICIAS E4,URBANA
LOS GUADUALES E6,URBANA
CALIMIO DESEPAZ E21,URBANA
CIUDAD CAPRI E17,URBANA
CIUDAD CAPRI E17,URBANA
COMPARTIR E21,URBANA
VENEZ - URB. CANHAVER E20,URBANA
BASE AEREA E7,URBANA
